segment,N,home_win_rate,draw_rate,away_win_rate,mean_goals,median_goals,over25_rate,btts_rate,mean_cards,mean_corners
ALL,3694,0.42338927991337305,0.2617758527341635,0.3121277747698971,2.6471226927252984,3.0,0.5046020573903628,0.5292365998917163,3.839410077836952,9.965178205653421
COMPETITION:Bundesliga,306,0.43790849673202614,0.24509803921568626,0.31699346405228757,3.235294117647059,3.0,0.6372549019607843,0.6176470588235294,,
COMPETITION:Championship,1109,0.43733092876465285,0.27412082957619477,0.2885482416591524,2.520288548241659,2.0,0.4733994589720469,0.5329125338142471,3.710144927536232,10.18659420289855
COMPETITION:League One,552,0.4311594202898551,0.2391304347826087,0.32971014492753625,2.585144927536232,3.0,0.5018115942028986,0.5163043478260869,3.733695652173913,9.71195652173913
COMPETITION:League Two,552,0.42028985507246375,0.286231884057971,0.29347826086956524,2.494565217391304,2.0,0.45652173913043476,0.4891304347826087,3.9565217391304346,9.668478260869565
COMPETITION:Premier League,795,0.41132075471698115,0.25031446540880503,0.32578616352201256,2.8547770700636943,3.0,0.5547169811320755,0.5635220125786163,3.922292993630573,10.196178343949045
COMPETITION:Serie A,380,0.3894736842105263,0.26052631578947366,0.35,2.4263157894736844,2.0,0.45789473684210524,0.45263157894736844,,
DIVISION:FIRST,1481,0.4112086428089129,0.2518568534773801,0.3301823092505064,2.82324949014276,3.0,0.5469277515192438,0.5462525320729237,3.922292993630573,10.196178343949045
DIVISION:FOURTH,552,0.42028985507246375,0.286231884057971,0.29347826086956524,2.494565217391304,2.0,0.45652173913043476,0.4891304347826087,3.9565217391304346,9.668478260869565
DIVISION:SECOND,1109,0.43733092876465285,0.27412082957619477,0.2885482416591524,2.520288548241659,2.0,0.4733994589720469,0.5329125338142471,3.710144927536232,10.18659420289855
DIVISION:THIRD,552,0.4311594202898551,0.2391304347826087,0.32971014492753625,2.585144927536232,3.0,0.5018115942028986,0.5163043478260869,3.733695652173913,9.71195652173913
SEASON:2023-24,30,0.4,0.16666666666666666,0.43333333333333335,2.966666666666667,3.0,0.6333333333333333,0.6,4.333333333333333,11.466666666666667
SEASON:2024-25,2036,0.431237721021611,0.26473477406679763,0.30402750491159136,2.5893909626719056,2.0,0.4857563850687623,0.5157170923379175,3.8467583497053046,9.93811394891945
SEASON:2025-26,1628,0.414004914004914,0.25982800982800985,0.32002457002457,2.7138442521631645,3.0,0.5257985257985258,0.5448402948402948,3.76,9.992
