DATA_LAYER,FIELD,CURRENT_COVERAGE,TARGET_COVERAGE,MISSING_PERCENT,SOURCE,SOURCE_TYPE,SPORT_SCOPE,COUNTRY_SCOPE,COMPETITION_SCOPE,SEASON_SCOPE,HISTORICAL_AVAILABLE,LIVE_AVAILABLE,TIMESTAMP_AVAILABLE,EXACT_PIT_AVAILABLE,FREE,FREE_TIER_LIMIT,API_KEY_REQUIRED,DOWNLOADABLE,MATERIALIZABLE,LEGAL_ACCESS,QUALITY,RELIABILITY,UPDATE_FREQUENCY,PRIORITY,IMPLEMENTATION_STATUS,v6_status,v6_materialized_note,v7_remote_status,v7_data_gain,v7_note
MATCH,match_id,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,competition_id,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,season_id,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,country,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,league,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,gender,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,date,100.0,100.0,0.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MATERIALIZED,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,kickoff_time,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,timezone,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,venue,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
MATCH,stadium,0.0,100.0,100.0,Multiple candidates,mixed,football/general,global,varies,varies,yes,varies,varies,varies,varies,varies,varies,varies,P2,MISSING,varies,varies,varies,varies,,REASSESSED,See V6 reports; only actual bytes counted.,ACQUISITION_BLOCKED,0,No remote bytes acquired in current runtime; local data preserved.
