competition,season,requested,found,downloaded,materialized,processed,PIT_validated,used_in_model,matches,status
Copa Libertadores,2020,YES,YES,YES,YES,YES,NO,YES,125,MATERIALIZED
Copa Libertadores,2021,YES,YES,YES,YES,YES,NO,YES,124,MATERIALIZED
Copa Libertadores,2022,YES,YES,YES,YES,YES,NO,YES,124,MATERIALIZED
Copa Libertadores,2023,YES,NO,NO,NO,NO,NO,NO,0,ACQUISITION_BLOCKED
Copa Libertadores,2024,YES,NO,NO,NO,NO,NO,NO,0,ACQUISITION_BLOCKED
Copa Libertadores,2025,YES,NO,NO,NO,NO,NO,NO,0,ACQUISITION_BLOCKED
Copa Libertadores,2026,YES,NO,NO,NO,NO,NO,NO,0,ACQUISITION_BLOCKED
Copa Sudamericana,2020,YES,YES,YES,YES,YES,NO,YES,105,MATERIALIZED
Copa Sudamericana,2021,YES,YES,YES,YES,YES,NO,YES,157,MATERIALIZED
Copa Sudamericana,2022,YES,YES,YES,YES,YES,NO,YES,157,MATERIALIZED
Copa Sudamericana,2023,YES,YES,YES,YES,YES,NO,YES,157,MATERIALIZED
Copa Sudamericana,2024,YES,YES,YES,YES,YES,NO,YES,157,MATERIALIZED
Copa Sudamericana,2025,YES,YES,YES,YES,YES,NO,YES,64,MATERIALIZED
Copa Sudamericana,2026,YES,NO,NO,NO,NO,NO,NO,0,ACQUISITION_BLOCKED
