team_id,team,historical_matches,recent_180d_matches,home_matches,away_matches,competitions,seasons,statistical_coverage,market_coverage,team_coverage_score,coverage_class
1 fc koln,1. FC Köln,34,24,17,17,1,1,0.4,0.0,60.83,GOOD
1 fsv mainz 05,1. FSV Mainz 05,34,24,17,17,1,1,0.4,0.0,60.83,GOOD
12 de octubre de itaugua par,12 de Octubre de Itauguá (PAR),8,8,4,4,1,1,0.4,0.0,54.17,MODERATE
2 de mayo par,2 de Mayo (PAR),1,1,0,1,1,1,0.4,0.0,15.83,CRITICAL
9 de octubre ecu,9 de Octubre (ECU),8,8,4,4,1,1,0.4,0.0,54.17,MODERATE
a e t 0 0,a.e.t. (0-0),1,1,0,1,1,1,0.4,0.0,15.83,CRITICAL
academia puerto cabello ven,Academia Puerto Cabello (VEN),13,4,6,7,1,3,0.4,0.0,57.5,MODERATE
accrington,Accrington,46,33,23,23,1,1,0.8,1.0,84.17,EXCELLENT
ad tarma per,AD Tarma (PER),2,1,1,1,1,2,0.4,0.0,20.83,LOW
afc wimbledon,AFC Wimbledon,46,35,23,23,1,1,0.8,1.0,84.17,EXCELLENT
aguilas doradas col,Águilas Doradas (COL),1,1,1,0,1,1,0.4,0.0,15.83,CRITICAL
alianza fc col,Alianza FC (COL),7,7,4,3,1,1,0.4,0.0,49.17,MODERATE
alianza lima,Alianza Lima,12,6,6,6,1,2,0.4,0.0,60.83,GOOD
always ready,Always Ready,12,6,6,6,1,2,0.4,0.0,60.83,GOOD
always ready bol,Always Ready (BOL),10,8,5,5,1,2,0.4,0.0,60.83,GOOD
america de cali,América de Cali,12,6,6,6,1,2,0.4,0.0,60.83,GOOD
america de cali col,América de Cali (COL),9,4,3,6,1,4,0.4,0.0,49.17,MODERATE
america mg,América-MG,6,6,3,3,1,1,0.4,0.0,47.5,MODERATE
america mg bra,América MG (BRA),12,12,6,6,1,1,0.4,0.0,60.83,GOOD
antofagasta chi,Antofagasta (CHI),10,8,5,5,1,2,0.4,0.0,60.83,GOOD
aragua fc ven,Aragua FC (VEN),10,8,5,5,1,2,0.4,0.0,60.83,GOOD
argentinos juniors,Argentinos Juniors,8,8,4,4,1,1,0.4,0.0,54.17,MODERATE
argentinos juniors arg,Argentinos Juniors (ARG),8,6,4,4,1,2,0.4,0.0,54.17,MODERATE
arsenal,Arsenal,229,26,114,115,1,6,0.7965,0.821,81.12,EXCELLENT
arsenal de sarandi arg,Arsenal de Sarandí (ARG),8,8,4,4,1,1,0.4,0.0,54.17,MODERATE
as roma,AS Roma,38,26,19,19,1,1,0.4,0.0,60.83,GOOD
