team,historical_match_count,home_matches,away_matches,competition_count,seasons,goals_for,shots,sot,xg,corners,cards,lineups,players,injuries,suspensions,odds,timestamped_odds,historical_depth_score,recency_score,home_away_score,competition_score,statistical_coverage_score,player_coverage_score,market_coverage_score,team_coverage_score,coverage_class
LDU Quito,0,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CRITICAL
Mirassol,0,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CRITICAL
Olimpia,0,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CRITICAL
Vasco,0,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CRITICAL
Macará,0,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CRITICAL
Santos,19,9,10,1,"{""2020"": 13, ""2021"": 6}",19,0,0,0,0,0,19,0,0,0,0,0,0.19,0.0,1.0,1,0.16666666666666666,0.25,0.0,37.24,LOW
Corinthians,10,5,5,1,"{""2022"": 10}",10,0,0,0,0,0,10,0,0,0,0,0,0.1,0.0,1.0,1,0.16666666666666666,0.25,0.0,35.95,LOW
Rosario Central,0,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CRITICAL
Botafogo,0,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CRITICAL
Cienciano,0,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,CRITICAL
