event_id,selection,entry_odds,reference_odds,closing_odds,result,profit_units,clv_proxy
1883c06e527f774995be,home,8.5,8.28,8.0,away,-1.0,0.0625
424c6d608b09ac761042,away,11.0,10.37,13.0,home,-1.0,-0.15384615384615385
465665a829baf7dffd78,away,8.5,8.11,7.5,draw,-1.0,0.1333333333333333
b73f3d3b0c2df5875cad,away,5.5,5.38,5.25,draw,-1.0,0.04761904761904767
aa95892e7248f283cff5,away,3.0,2.92,3.2,draw,-1.0,-0.0625
e16b3dd8d558e17a4a27,away,6.5,6.34,5.25,home,-1.0,0.23809523809523814
ca3aca65cc636234342b,home,3.4,3.33,3.1,away,-1.0,0.09677419354838701
a47b51d55bad0082ec7f,home,3.6,3.49,3.5,away,-1.0,0.028571428571428692
fa78c29c7456447bafbb,home,3.0,2.86,2.9,home,2.0,0.034482758620689724
babd83f3f7c223095a1b,away,2.88,2.82,3.5,draw,-1.0,-0.17714285714285716
8aaf2d4996f293f1eca2,away,4.75,4.21,4.33,draw,-1.0,0.0969976905311778
58a592f37f897656efff,home,5.25,5.09,4.75,draw,-1.0,0.10526315789473695
427cafed8c560fdcba11,draw,8.0,7.82,7.5,home,-1.0,0.06666666666666665
4af3687d266104d3f6c7,draw,5.75,5.55,5.75,away,-1.0,0.0
27255e5a5b7f0c5799ee,draw,3.75,3.66,3.9,home,-1.0,-0.038461538461538436
c76fd4a44334375e09f5,draw,7.0,6.85,6.5,home,-1.0,0.07692307692307687
91b388a7c4c992952675,away,6.5,6.32,6.5,draw,-1.0,0.0
0b89741b8226101b7a01,away,3.6,3.51,4.5,away,2.6,-0.19999999999999996
66fccdfc2a003623729d,draw,6.0,5.85,5.5,away,-1.0,0.09090909090909083
6a2936d59ad12ae97c04,away,5.0,4.89,4.2,home,-1.0,0.19047619047619047
33afc678c7e4d8a8163e,draw,3.5,3.31,3.3,home,-1.0,0.06060606060606055
55a1abc09d969605782a,draw,4.5,4.32,4.33,draw,3.5,0.03926096997690531
4ec457a58f8a215a6844,home,5.5,5.32,5.75,home,4.5,-0.04347826086956519
60743b9a58f563e0f418,away,7.5,7.12,7.5,home,-1.0,0.0
fe10b55fbf0dd4a39376,away,3.75,3.67,3.8,home,-1.0,-0.013157894736842035
5208873a4c2417af04f1,draw,5.5,5.35,5.75,home,-1.0,-0.04347826086956519
0aee2f29bba190638742,home,11.0,10.4,8.5,away,-1.0,0.2941176470588236
be1242a58b89e4d8251d,home,5.25,5.06,5.0,draw,-1.0,0.050000000000000044
b107e3b2d62659334412,draw,4.5,4.35,4.2,draw,3.5,0.0714285714285714
5fa00adff8293e22904f,away,9.0,8.25,9.5,home,-1.0,-0.052631578947368474
31bf2809881471c94c38,away,4.33,4.24,5.0,home,-1.0,-0.134
f705cc3e3be161b7756f,home,5.5,5.39,4.5,draw,-1.0,0.22222222222222232
b29b858453dcc547639c,away,5.25,5.12,5.0,away,4.25,0.050000000000000044
561f0f159be541e73c87,draw,4.33,4.24,4.33,draw,3.33,0.0
9f37a80e96bab2eacedc,home,3.4,3.21,2.88,away,-1.0,0.18055555555555558
5e00bf7886b96273c542,draw,6.5,6.33,6.5,draw,5.5,0.0
a660a207143f67e691dc,draw,6.0,5.83,6.25,home,-1.0,-0.040000000000000036
e0ab7921c683a58bc253,away,4.75,4.43,4.2,draw,-1.0,0.13095238095238093
e1437b8858b1f3ffa907,draw,3.6,3.52,3.6,away,-1.0,0.0
8b917e3dc5e5cafe5539,home,4.75,4.61,4.75,away,-1.0,0.0
4e64ad78c227d6f24b38,home,2.88,2.8,2.75,draw,-1.0,0.04727272727272713
b397ce3078d80d777647,home,6.25,6.08,7.0,away,-1.0,-0.1071428571428571
b397ce3078d80d777647,draw,4.2,4.11,4.33,away,-1.0,-0.03002309468822173
3caba1b9376c76ba923d,away,4.2,4.07,4.33,away,3.2,-0.03002309468822173
4802d4c58253e396632b,home,4.5,4.29,4.75,away,-1.0,-0.052631578947368474
18faf5854e69fcb07373,away,3.75,3.66,3.8,home,-1.0,-0.013157894736842035
6e39a525136f1a0b1cb0,away,2.88,2.82,3.0,home,-1.0,-0.040000000000000036
4c87b79a1bbd3cb7a0d3,home,3.9,3.8,4.33,home,2.9,-0.09930715935334877
2d9ca4759d5a3439da3d,draw,9.0,8.37,8.5,home,-1.0,0.05882352941176472
2910afefc8700dfaff7f,draw,5.0,4.77,4.33,draw,4.0,0.15473441108545027
316324b4684d2a1a5008,away,2.55,2.49,2.55,away,1.5499999999999998,0.0
