match_id,home_shots,away_shots,home_sot,away_sot,hc,ac,hf,af,hy,ay,hr,ar,source,source_type,source_timestamp_status,temporal_status,provenance_timestamp,raw_source_sha256
2324-0001,6,17,1,8,6,5,11,8,0,0,1,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0002,15,6,7,2,8,3,12,12,2,2,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0003,14,16,5,3,10,4,9,14,1,4,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0004,27,9,12,3,6,7,11,12,2,2,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0005,19,9,9,2,10,4,12,6,0,2,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0006,8,24,1,8,5,5,18,11,3,0,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0007,17,16,13,6,6,5,12,17,4,4,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0008,11,18,6,6,3,6,12,13,1,4,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0009,10,13,4,1,4,4,5,12,3,3,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0010,15,23,3,6,8,7,14,10,2,3,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0011,16,7,4,3,6,7,5,9,2,3,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0012,10,17,2,8,5,5,13,12,2,2,1,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0013,26,13,10,5,10,2,11,13,1,3,1,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0014,16,16,5,8,5,3,14,11,3,6,1,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0015,17,22,6,6,5,6,9,8,1,3,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0016,14,7,4,1,3,0,12,11,1,5,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0017,13,9,7,2,7,6,8,12,3,4,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0018,12,17,6,4,3,9,12,9,2,3,1,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0019,14,14,2,3,1,8,14,10,2,1,0,1,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0020,19,11,8,1,6,4,15,12,2,3,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0021,11,17,3,6,6,2,18,11,1,3,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0022,19,8,11,3,8,3,6,5,0,3,0,1,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0023,12,15,1,5,8,6,9,15,0,0,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0024,15,11,7,2,7,0,10,14,3,4,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0025,18,9,9,4,11,3,13,11,4,4,0,1,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
2324-0026,25,12,10,3,17,4,10,9,1,3,0,0,data/raw/epl_2324_real_pilot.csv,Football-Data.co.uk CSV already materialized locally,DATE_ONLY_SOURCE,DATE_LEVEL_ONLY,2026-08-20T17:42:06.876984+00:00,430d5e66f1acde23a1ddd610ad666f828de955ff835840444ca98441bb9bf5e9
