player_id,canonical_name,team,nationality,date_of_birth,source,resolution_status,confidence
FCSVBR24-27cf9eefe301e306,Agustin Rossi,Flamengo,ARG,21-08-95,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-ea991d51a7db03eb,Guillermo Varela,Flamengo,URU,24-03-93,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-acd3322659ea745f,Léo Ortiz,Flamengo,BRA,03-01-96,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-d851d94b6d6b6275,Léo Pereira,Flamengo,BRA,31-01-96,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-b69c94910015f1fa,Erick Pulgar,Flamengo,CHI,15-01-94,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-077daeb75bae34e7,Ayrton Lucas,Flamengo,BRA,19-06-97,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-86ecb2d6d55752ff,Luiz Araújo,Flamengo,BRA,02-06-96,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-8c914d35059c5bc3,Gerson,Flamengo,BRA,20-05-97,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-baee79d65bd3b499,Pedro,Flamengo,BRA,20-06-97,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-48dcb8887b547393,Gabriel Barbosa,Flamengo,BRA,30-08-96,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-8bff738d4acce703,Everton,Flamengo,BRA,22-03-96,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-92b54daba6fb8d1f,Giorgian De Arrascaeta,Flamengo,URU,01-06-94,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-ba5c97c0a90e7497,Fabrício Bruno,Flamengo,BRA,12-02-96,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-c22d773f0208e2a0,Matías Viña,Flamengo,URU,09-11-97,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-669517ca23e08101,Nicolás De La Cruz,Flamengo,URU,01-06-97,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-924e8220c11e7efe,Lorran,Flamengo,BRA,04-07-06,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-864f6567bc28b7bf,Matheus Gonçalves,Flamengo,BRA,18-08-05,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-a38f2d1d9f9edfc0,Allan,Flamengo,BRA,03-03-97,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-5377d521a6cbcaad,Carlinhos,Flamengo,BRA,12-02-97,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-17e97cb14619343f,David Luiz,Flamengo,BRA,22-04-87,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-88e8e0bb6f900d89,Matheus Cunha,Flamengo,BRA,24-05-01,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-85839cbf2394c2ad,Bruno Henrique,Flamengo,BRA,30-12-90,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
FCSVBR24-2266fad123504148,Victor Hugo,Flamengo,BRA,11-05-04,footballcsv/cache.footballsquads,RESOLVED_SOURCE_LOCAL,0.95
