player_id,canonical_name,nationality,position,height_m,weight_kg,date_of_birth,birth_place,team,season,competition,squad_number,previous_club,source,source_url,temporal_class,pit_status,retrieved_at
FCSVBR24-27cf9eefe301e306,Agustin Rossi,ARG,G,1.93,93,21-08-95,Capital Federal,Flamengo,2024,Campeonato Brasileiro Série A,1,Boca Juniors,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060417+00:00
FCSVBR24-ea991d51a7db03eb,Guillermo Varela,URU,D,1.71,69,24-03-93,Montevideo,Flamengo,2024,Campeonato Brasileiro Série A,2,Dynamo Moscow,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060429+00:00
FCSVBR24-acd3322659ea745f,Léo Ortiz,BRA,D,1.85,82,03-01-96,Porto Alegre,Flamengo,2024,Campeonato Brasileiro Série A,3,Red Bull Bragantino,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060437+00:00
FCSVBR24-d851d94b6d6b6275,Léo Pereira,BRA,D,1.86,76,31-01-96,Curitiba,Flamengo,2024,Campeonato Brasileiro Série A,4,Athletico Paranaense,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060442+00:00
FCSVBR24-b69c94910015f1fa,Erick Pulgar,CHI,M,1.87,74,15-01-94,Antofagasta,Flamengo,2024,Campeonato Brasileiro Série A,5,Fiorentina,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060446+00:00
FCSVBR24-077daeb75bae34e7,Ayrton Lucas,BRA,D,1.80,72,19-06-97,Carnaúba dos Dantas,Flamengo,2024,Campeonato Brasileiro Série A,6,Spartak Moscow,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060450+00:00
FCSVBR24-86ecb2d6d55752ff,Luiz Araújo,BRA,M,1.75,67,02-06-96,Santa Clara do Sul,Flamengo,2024,Campeonato Brasileiro Série A,7,Atlanta U,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060455+00:00
FCSVBR24-8c914d35059c5bc3,Gerson,BRA,M,1.75,65,20-05-97,Belford Roxo,Flamengo,2024,Campeonato Brasileiro Série A,8,Marseille,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060458+00:00
FCSVBR24-baee79d65bd3b499,Pedro,BRA,F,1.85,78,20-06-97,Rio de Janeiro,Flamengo,2024,Campeonato Brasileiro Série A,9,Fiorentina,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060462+00:00
FCSVBR24-48dcb8887b547393,Gabriel Barbosa,BRA,F,1.78,68,30-08-96,São Bernardo do Campo,Flamengo,2024,Campeonato Brasileiro Série A,0,Internazionale,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060471+00:00
FCSVBR24-8bff738d4acce703,Everton,BRA,M,1.74,72,22-03-96,Fortaleza,Flamengo,2024,Campeonato Brasileiro Série A,1,Benfica,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060475+00:00
FCSVBR24-92b54daba6fb8d1f,Giorgian De Arrascaeta,URU,M,1.72,67,01-06-94,Nuevo Berlín,Flamengo,2024,Campeonato Brasileiro Série A,4,Cruzeiro,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060480+00:00
FCSVBR24-ba5c97c0a90e7497,Fabrício Bruno,BRA,D,1.92,90,12-02-96,Contagem,Flamengo,2024,Campeonato Brasileiro Série A,5,Red Bull Bragantino,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060484+00:00
FCSVBR24-c22d773f0208e2a0,Matías Viña,URU,D,1.76,70,09-11-97,Empalme Olmos,Flamengo,2024,Campeonato Brasileiro Série A,7,Roma,footballcsv/cache.footballsquads,https://github.com/footballcsv/cache.footballsquads,SEASON_SQUAD,DATE_LEVEL,2026-08-20T18:38:41.060488+00:00
