entity_type,canonical_id,canonical_name,normalized_name,alias,country,gender,entity_confidence,entity_source,matches,competitions,seasons
TEAM,team_e24d410c3d8149df116b,1. FC Köln,1 fc koln,1. FC Köln,Germany,MEN,1.0,canonical_exact_name,34,1,1
TEAM,team_3be3f641a7628141d76a,1. FSV Mainz 05,1 fsv mainz 05,1. FSV Mainz 05,Germany,MEN,1.0,canonical_exact_name,34,1,1
TEAM,team_c71e559181c7f6978385,12 de Octubre de Itauguá (PAR),12 de octubre de itaugua par,12 de Octubre de Itauguá (PAR),South America,MEN,1.0,canonical_exact_name,8,1,1
TEAM,team_35662cfb7e4a5aed306c,2 de Mayo (PAR),2 de mayo par,2 de Mayo (PAR),South America,MEN,1.0,canonical_exact_name,1,1,1
TEAM,team_1fc8e2224a9f80d5026e,9 de Octubre (ECU),9 de octubre ecu,9 de Octubre (ECU),South America,MEN,1.0,canonical_exact_name,8,1,1
TEAM,team_611daea8bfad007a3e65,AD Tarma (PER),ad tarma per,AD Tarma (PER),South America,MEN,1.0,canonical_exact_name,2,1,2
TEAM,team_fa89dbe3ac0d81e52829,AFC Wimbledon,afc wimbledon,AFC Wimbledon,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_3c94e07343624fada66a,AS Roma,as roma,AS Roma,Italy,MEN,1.0,canonical_exact_name,38,1,1
TEAM,team_b555eeea4fb1a2adee51,Academia Puerto Cabello (VEN),academia puerto cabello ven,Academia Puerto Cabello (VEN),South America,MEN,1.0,canonical_exact_name,13,1,3
TEAM,team_2d6a2f42c2a46184736c,Accrington,accrington,Accrington,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_f39dfa1d75654db34d6f,Alianza FC (COL),alianza fc col,Alianza FC (COL),South America,MEN,1.0,canonical_exact_name,7,1,1
TEAM,team_1c9c24b9912fac661c0a,Alianza Lima,alianza lima,Alianza Lima,South America,MEN,1.0,canonical_exact_name,12,1,2
TEAM,team_1402656e68d753ed6046,Always Ready,always ready,Always Ready,South America,MEN,1.0,canonical_exact_name,12,1,2
TEAM,team_46a5f17f38e123f7cf1b,Always Ready (BOL),always ready bol,Always Ready (BOL),South America,MEN,1.0,canonical_exact_name,10,1,2
TEAM,team_0f34c80fa9281029a653,América MG (BRA),america mg bra,América MG (BRA),South America,MEN,1.0,canonical_exact_name,12,1,1
TEAM,team_105027e436d0aa862054,América de Cali,america de cali,América de Cali,South America,MEN,1.0,canonical_exact_name,12,1,2
TEAM,team_e690f0f05c41f7556270,América de Cali (COL),america de cali col,América de Cali (COL),South America,MEN,1.0,canonical_exact_name,9,1,4
TEAM,team_dfe6b41e049ab914536e,América-MG,america mg,América-MG,South America,MEN,1.0,canonical_exact_name,6,1,1
TEAM,team_4d65994501bba944ea30,Antofagasta (CHI),antofagasta chi,Antofagasta (CHI),South America,MEN,1.0,canonical_exact_name,10,1,2
TEAM,team_ee9ef2a24ed0c2c00b9e,Aragua FC (VEN),aragua fc ven,Aragua FC (VEN),South America,MEN,1.0,canonical_exact_name,10,1,2
TEAM,team_74f8bcb291bbb6f33bf4,Argentinos Juniors,argentinos juniors,Argentinos Juniors,South America,MEN,1.0,canonical_exact_name,8,1,1
TEAM,team_ddf5571b5cb894787a82,Argentinos Juniors (ARG),argentinos juniors arg,Argentinos Juniors (ARG),South America,MEN,1.0,canonical_exact_name,8,1,2
TEAM,team_d53c96f8bfd6895ee2f5,Arsenal,arsenal,Arsenal,England,MEN,1.0,canonical_exact_name,229,1,6
TEAM,team_79ffcf3128a4360fdab2,Arsenal de Sarandí (ARG),arsenal de sarandi arg,Arsenal de Sarandí (ARG),South America,MEN,1.0,canonical_exact_name,8,1,1
TEAM,team_729ea9ddbf7c7c5b95c6,Aston Villa,aston villa,Aston Villa,England,MEN,1.0,canonical_exact_name,228,1,6
TEAM,team_524113d19cfb89f8a7f3,Atalanta,atalanta,Atalanta,Italy,MEN,1.0,canonical_exact_name,38,1,1
TEAM,team_45e924fc120b7035441b,Athletico,athletico,Athletico,South America,MEN,1.0,canonical_exact_name,18,1,2
TEAM,team_000fa81ca80e2de4d690,Athletico Paranaense (BRA),athletico paranaense bra,Athletico Paranaense (BRA),South America,MEN,1.0,canonical_exact_name,25,1,2
TEAM,team_eb1bf9b65a5266ba79e3,Atlético Goianiense (BRA),atletico goianiense bra,Atlético Goianiense (BRA),South America,MEN,1.0,canonical_exact_name,18,1,2
TEAM,team_8cf33820b258d4cdda96,Atlético Grau (PER),atletico grau per,Atlético Grau (PER),South America,MEN,1.0,canonical_exact_name,6,1,2
TEAM,team_25745f6a113ce59e89d0,Atlético Junior (COL),atletico junior col,Atlético Junior (COL),South America,MEN,1.0,canonical_exact_name,18,1,5
TEAM,team_04f51a35d72eafb6fa73,Atlético Mineiro (BRA),atletico mineiro bra,Atlético Mineiro (BRA),South America,MEN,1.0,canonical_exact_name,5,1,2
TEAM,team_8042f2efb0b5e0096786,Atlético Nacional,atletico nacional,Atlético Nacional,South America,MEN,1.0,canonical_exact_name,6,1,1
TEAM,team_4e75ed7bcc02ec82f1db,Atlético Nacional (COL),atletico nacional col,Atlético Nacional (COL),South America,MEN,1.0,canonical_exact_name,4,1,1
TEAM,team_2b08f39fd8794402f0f7,Atlético Palmaflor (BOL),atletico palmaflor bol,Atlético Palmaflor (BOL),South America,MEN,1.0,canonical_exact_name,3,1,2
TEAM,team_0fa3168cc318e5ae774f,Atlético Tucumán (ARG),atletico tucuman arg,Atlético Tucumán (ARG),South America,MEN,1.0,canonical_exact_name,2,1,1
TEAM,team_099f61470f37bbc9233b,Atlético-MG,atletico mg,Atlético-MG,South America,MEN,1.0,canonical_exact_name,22,1,2
TEAM,team_4f6703f8c2c2694364ea,Aucas (ECU),aucas ecu,Aucas (ECU),South America,MEN,1.0,canonical_exact_name,11,1,3
TEAM,team_65f649e018366ebf5001,Audax Italiano (CHI),audax italiano chi,Audax Italiano (CHI),South America,MEN,1.0,canonical_exact_name,13,1,2
TEAM,team_e0e797d106c55b5ce514,Augsburg,augsburg,Augsburg,Germany,MEN,1.0,canonical_exact_name,136,2,2
TEAM,team_deb0ccbfe14015cc2814,Ayacucho FC (PER),ayacucho fc per,Ayacucho FC (PER),South America,MEN,1.0,canonical_exact_name,8,1,1
TEAM,team_6164b9ec42c309ec894b,Bahia BA (BRA),bahia ba bra,Bahia BA (BRA),South America,MEN,1.0,canonical_exact_name,14,1,2
TEAM,team_dd9942f5fedb0e87f6a9,Banfield (ARG),banfield arg,Banfield (ARG),South America,MEN,1.0,canonical_exact_name,6,1,1
TEAM,team_f2b8c6494722bc72e251,Barcelona (ECU),barcelona ecu,Barcelona (ECU),South America,MEN,1.0,canonical_exact_name,10,1,3
TEAM,team_60b6fb2ef9bd57110cf4,Barcelona-EQU,barcelona equ,Barcelona-EQU,South America,MEN,1.0,canonical_exact_name,18,1,2
TEAM,team_f32bf2ca792ce4c00918,Barnsley,barnsley,Barnsley,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_015734e5713cae949bae,Barrow,barrow,Barrow,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_ba0ffd3040605195054c,Bayer Leverkusen,bayer leverkusen,Bayer Leverkusen,Germany,MEN,1.0,canonical_exact_name,34,1,1
TEAM,team_f78a74c4ee529c0c95de,Bayern Munich,bayern munich,Bayern Munich,Germany,MEN,1.0,canonical_exact_name,136,2,2
TEAM,team_32a1ff445d99fdceefa7,Belgrano de Córdoba (ARG),belgrano de cordoba arg,Belgrano de Córdoba (ARG),South America,MEN,1.0,canonical_exact_name,8,1,1
TEAM,team_72dfbb1698feec3cbd50,Bielefeld,bielefeld,Bielefeld,Germany,MEN,1.0,canonical_exact_name,68,2,1
TEAM,team_11ef7fb19e00e56626d1,Binacional,binacional,Binacional,South America,MEN,1.0,canonical_exact_name,6,1,1
TEAM,team_efb811306da86ae376ea,Birmingham,birmingham,Birmingham,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_d8bb8cced6371df7a751,Birmingham City FC,birmingham city fc,Birmingham City FC,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_81c6055bc74c29c74941,Blackburn,blackburn,Blackburn,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_d409d7b06c930a542e2b,Blackburn Rovers FC,blackburn rovers fc,Blackburn Rovers FC,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_342cee2187453bc7db77,Blackpool,blackpool,Blackpool,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_a7fb2c0bd40645a024bb,Blooming (BOL),blooming bol,Blooming (BOL),South America,MEN,1.0,canonical_exact_name,9,1,2
TEAM,team_8eccd54b77476b9683d3,Boca Juniors,boca juniors,Boca Juniors,South America,MEN,1.0,canonical_exact_name,26,1,3
TEAM,team_8bd55225c3be4f9f81d2,Boca Juniors (ARG),boca juniors arg,Boca Juniors (ARG),South America,MEN,1.0,canonical_exact_name,10,1,1
TEAM,team_5293a35b4594e8bb37df,Bochum,bochum,Bochum,Germany,MEN,1.0,canonical_exact_name,136,2,2
TEAM,team_198946852f82cddbf56f,Bologna,bologna,Bologna,Italy,MEN,1.0,canonical_exact_name,38,1,1
TEAM,team_6891f6f958de8598a42e,Bolton,bolton,Bolton,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_c9689e531c10a20de717,Bolívar,bolivar,Bolívar,South America,MEN,1.0,canonical_exact_name,6,1,1
TEAM,team_bff60d15867c1808cf9f,Bolívar (BOL),bolivar bol,Bolívar (BOL),South America,MEN,1.0,canonical_exact_name,10,1,2
TEAM,team_66eee3028737ae42e30d,Borussia Dortmund,borussia dortmund,Borussia Dortmund,Germany,MEN,1.0,canonical_exact_name,34,1,1
TEAM,team_5f7b41e9448279e3f9ea,Borussia M'gladbach,borussia m gladbach,Borussia M'gladbach,Germany,MEN,1.0,canonical_exact_name,34,1,1
TEAM,team_6a92fa9ffbc29984b670,Boston River (URU),boston river uru,Boston River (URU),South America,MEN,1.0,canonical_exact_name,3,1,1
TEAM,team_6de77a556027650c68a8,Botafogo RJ (BRA),botafogo rj bra,Botafogo RJ (BRA),South America,MEN,1.0,canonical_exact_name,12,1,1
TEAM,team_cc34776e66fb62d7990c,Bournemouth,bournemouth,Bournemouth,England,MEN,1.0,canonical_exact_name,153,1,4
TEAM,team_8b8be2a2c4c603c6499f,Bradford,bradford,Bradford,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_72df05e3c7387a8b2d56,Brentford,brentford,Brentford,England,MEN,1.0,canonical_exact_name,191,1,5
TEAM,team_35ee3833345cfc58518c,Brighton,brighton,Brighton,England,MEN,1.0,canonical_exact_name,228,1,6
TEAM,team_3877dec9d43c9f7b8742,Bristol City,bristol city,Bristol City,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_229d037f31056da6e3b6,Bristol City FC,bristol city fc,Bristol City FC,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_eb87701c12169b1ba882,Bristol Rvs,bristol rvs,Bristol Rvs,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_594d35333452ad4577f2,Bromley,bromley,Bromley,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_3aa2ab1239801a394f16,Burnley,burnley,Burnley,England,MEN,1.0,canonical_exact_name,198,2,5
TEAM,team_bf4807e7bf0739e2ca3e,Burton,burton,Burton,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_47be17df614d53ec17d7,CD Guabirá (BOL),cd guabira bol,CD Guabirá (BOL),South America,MEN,1.0,canonical_exact_name,11,1,3
TEAM,team_d34218e2d9e1cd94e0f4,CD Magallanes (CHI),cd magallanes chi,CD Magallanes (CHI),South America,MEN,1.0,canonical_exact_name,6,1,1
TEAM,team_eb6b7ba960a46d587083,Cagliari,cagliari,Cagliari,Italy,MEN,1.0,canonical_exact_name,38,1,1
TEAM,team_4a94b3cd2ce1a844d92f,Cambridge,cambridge,Cambridge,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_2cfa0a03d51ddcdda080,Carabobo FC (VEN),carabobo fc ven,Carabobo FC (VEN),South America,MEN,1.0,canonical_exact_name,1,1,1
TEAM,team_8f46dd04565c7e653612,Caracas,caracas,Caracas,South America,MEN,1.0,canonical_exact_name,12,1,2
TEAM,team_1eae45562338e6e1e273,Caracas FC (VEN),caracas fc ven,Caracas FC (VEN),South America,MEN,1.0,canonical_exact_name,7,1,3
TEAM,team_20bd2f02512048e7ee3b,Cardiff,cardiff,Cardiff,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_f5796d2c1ceea401944d,Carlisle,carlisle,Carlisle,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_39949fc52781846fdd49,Ceará CE (BRA),ceara ce bra,Ceará CE (BRA),South America,MEN,1.0,canonical_exact_name,16,1,2
TEAM,team_d8c38d761b1b0897a274,Cerro Largo (URU),cerro largo uru,Cerro Largo (URU),South America,MEN,1.0,canonical_exact_name,9,1,4
TEAM,team_6958eba3c130bfe94839,Cerro Porteño,cerro porteno,Cerro Porteño,South America,MEN,1.0,canonical_exact_name,16,1,2
TEAM,team_88fcff676be43ce46727,Cerro Porteño (PAR),cerro porteno par,Cerro Porteño (PAR),South America,MEN,1.0,canonical_exact_name,2,1,1
TEAM,team_2fe8252ea9ae5ba2ae99,Charlton,charlton,Charlton,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_816076f5300a999fba4c,Charlton Athletic FC,charlton athletic fc,Charlton Athletic FC,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_0710f89851bef0390274,Chelsea,chelsea,Chelsea,England,MEN,1.0,canonical_exact_name,228,1,6
TEAM,team_800d7b746813c40941d0,Cheltenham,cheltenham,Cheltenham,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_57f52ac049da0d5a48de,Chesterfield,chesterfield,Chesterfield,England,MEN,1.0,canonical_exact_name,46,1,1
TEAM,team_608a5d33178db7ceba9d,Cienciano (PER),cienciano per,Cienciano (PER),South America,MEN,1.0,canonical_exact_name,7,1,3
TEAM,team_8a4316d5e4b44e980caf,Club Aurora (BOL),club aurora bol,Club Aurora (BOL),South America,MEN,1.0,canonical_exact_name,1,1,1
TEAM,team_f54996e29f881b016c4a,Club Nacional (PAR),club nacional par,Club Nacional (PAR),South America,MEN,1.0,canonical_exact_name,12,1,4
TEAM,team_a3ba59e5eb9c28789f36,Club Olimpia (PAR),club olimpia par,Club Olimpia (PAR),South America,MEN,1.0,canonical_exact_name,3,1,2
TEAM,team_c3acaf10102ef6e96fa4,Cobresal (CHI),cobresal chi,Cobresal (CHI),South America,MEN,1.0,canonical_exact_name,3,1,2
TEAM,team_cbf0db93e46c980e6283,Colchester,colchester,Colchester,England,MEN,1.0,canonical_exact_name,46,1,1
