country,competition,priority,gender,matches_materialized,status,source_state
England,Premier League,A,MEN,2285,MATERIALIZED,ACQUIRED
England,Premier League,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
England,Championship,A,MEN,1109,MATERIALIZED,ACQUIRED
England,Championship,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
England,League One,B,MEN,552,MATERIALIZED,ACQUIRED
England,League One,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
England,League Two,B,MEN,552,MATERIALIZED,ACQUIRED
England,League Two,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Spain,La Liga,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Spain,La Liga,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Spain,Segunda División,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Spain,Segunda División,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Italy,Serie A,A,MEN,380,MATERIALIZED,ACQUIRED
Italy,Serie A,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Italy,Serie B,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Italy,Serie B,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Germany,Bundesliga,A,MEN,918,MATERIALIZED,ACQUIRED
Germany,Bundesliga,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Germany,2. Bundesliga,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Germany,2. Bundesliga,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
France,Ligue 1,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
France,Ligue 1,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
France,Ligue 2,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
France,Ligue 2,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Portugal,Primeira Liga,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Portugal,Primeira Liga,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Portugal,Segunda Liga,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Portugal,Segunda Liga,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Netherlands,Eredivisie,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Netherlands,Eredivisie,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Belgium,Belgian Pro League,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Belgium,Belgian Pro League,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Turkey,Süper Lig,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Turkey,Süper Lig,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Greece,Super League,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Greece,Super League,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Scotland,Premiership,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Scotland,Premiership,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Austria,Bundesliga,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Austria,Bundesliga,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Switzerland,Super League,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Switzerland,Super League,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Denmark,Superliga,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Denmark,Superliga,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Norway,Eliteserien,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Norway,Eliteserien,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Sweden,Allsvenskan,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Sweden,Allsvenskan,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Poland,Ekstraklasa,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Poland,Ekstraklasa,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Czechia,Czech First League,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Czechia,Czech First League,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Brazil,Brasileirão Série A,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Brazil,Brasileirão Série A,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Brazil,Brasileirão Série B,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Brazil,Brasileirão Série B,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Brazil,Brasileirão Série C,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Brazil,Brasileirão Série C,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Brazil,Brasileirão Série D,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Brazil,Brasileirão Série D,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Brazil,Copa do Brasil,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Brazil,Copa do Brasil,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Argentina,Primera División,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Argentina,Primera División,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Argentina,Primera Nacional,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Argentina,Primera Nacional,B,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Argentina,Copa Argentina,A,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Argentina,Copa Argentina,A,WOMEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
Chile,Primera División,B,MEN,0,NOT_MATERIALIZED,NOT_ACQUIRED
