canonical_team_id,team_name,aliases,country,gender,competitions,seasons,first_season_found,last_season_found,matches,stats_matches,xg_matches
arsenal,Arsenal,Arsenal,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,229,228,0
wolves,Wolves,Wolves,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,229,228,0
liverpool,Liverpool,Liverpool,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,229,228,0
everton,Everton,Everton,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,229,228,0
newcastle,Newcastle,Newcastle,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,228,227,0
manunited,Man United,Man United,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,228,228,0
westham,West Ham,West Ham,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,228,227,0
crystalpalace,Crystal Palace,Crystal Palace,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,228,227,0
brighton,Brighton,Brighton,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,228,227,0
tottenham,Tottenham,Tottenham,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,228,227,0
mancity,Man City,Man City,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,228,228,0
chelsea,Chelsea,Chelsea,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,228,227,0
astonvilla,Aston Villa,Aston Villa,England,MEN,Premier League,2020-21;2021-22;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,228,227,0
leeds,Leeds,Leeds,England,MEN,Championship;Premier League,2020-21;2021-22;2022-23;2024-25;2025-26,2020-21,2025-26,199,198,0
burnley,Burnley,Burnley,England,MEN,Championship;Premier League,2020-21;2021-22;2023-24;2024-25;2025-26,2020-21,2025-26,198,197,0
brentford,Brentford,Brentford,England,MEN,Premier League,2021-22;2022-23;2023-24;2024-25;2025-26,2021-22,2025-26,191,190,0
fulham,Fulham,Fulham,England,MEN,Premier League,2020-21;2022-23;2023-24;2024-25;2025-26,2020-21,2025-26,190,189,0
wolfsburg,Wolfsburg,Wolfsburg,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23;2025-26,2021-22,2025-26,170,136,0
rbleipzig,RB Leipzig,RB Leipzig,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23;2025-26,2021-22,2025-26,170,136,0
unionberlin,Union Berlin,Union Berlin,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23;2025-26,2021-22,2025-26,170,136,0
bournemouth,Bournemouth,Bournemouth,England,MEN,Premier League,2022-23;2023-24;2024-25;2025-26,2022-23,2025-26,153,152,0
leicester,Leicester,Leicester,England,MEN,Premier League,2020-21;2021-22;2022-23;2024-25,2020-21,2024-25,152,152,0
southampton,Southampton,Southampton,England,MEN,Premier League,2020-21;2021-22;2022-23;2024-25,2020-21,2024-25,152,152,0
nottmforest,Nott'm Forest,Nott'm Forest,England,MEN,Premier League,2022-23;2023-24;2024-25;2025-26,2022-23,2025-26,152,152,0
dortmund,Dortmund,Dortmund,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
fckoln,FC Koln,FC Koln,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
freiburg,Freiburg,Freiburg,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
bochum,Bochum,Bochum,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
mainz,Mainz,Mainz,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
bayernmunich,Bayern Munich,Bayern Munich,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
mgladbach,M'gladbach,M'gladbach,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
augsburg,Augsburg,Augsburg,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
einfrankfurt,Ein Frankfurt,Ein Frankfurt,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
leverkusen,Leverkusen,Leverkusen,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
hertha,Hertha,Hertha,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
hoffenheim,Hoffenheim,Hoffenheim,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
stuttgart,Stuttgart,Stuttgart,Germany,MEN,Bundesliga;Bundesliga 2,2021-22;2022-23,2021-22,2022-23,136,136,0
sheffieldunited,Sheffield United,Sheffield United,England,MEN,Championship;Premier League,2020-21;2023-24;2024-25,2020-21,2024-25,122,122,0
werderbremen,Werder Bremen,Werder Bremen,Germany,MEN,Bundesliga;Bundesliga 2,2022-23;2025-26,2022-23,2025-26,102,68,0
luton,Luton,Luton,England,MEN,Championship;Premier League,2023-24;2024-25,2023-24,2024-25,84,84,0
westbrom,West Brom,West Brom,England,MEN,Championship;Premier League,2020-21;2024-25,2020-21,2024-25,84,84,0
norwich,Norwich,Norwich,England,MEN,Championship;Premier League,2021-22;2024-25,2021-22,2024-25,84,84,0
sunderland,Sunderland,Sunderland,England,MEN,Championship;Premier League,2024-25;2025-26,2024-25,2025-26,84,83,0
watford,Watford,Watford,England,MEN,Championship;Premier League,2021-22;2024-25,2021-22,2024-25,84,84,0
bielefeld,Bielefeld,Bielefeld,Germany,MEN,Bundesliga;Bundesliga 2,2021-22,2021-22,2021-22,68,68,0
greutherfurth,Greuther Furth,Greuther Furth,Germany,MEN,Bundesliga;Bundesliga 2,2021-22,2021-22,2021-22,68,68,0
schalke04,Schalke 04,Schalke 04,Germany,MEN,Bundesliga;Bundesliga 2,2022-23,2022-23,2022-23,68,68,0
hullcityafc,Hull City AFC,Hull City AFC,England,MEN,Championship,2025-26,2025-26,2025-26,49,0,0
millwallfc,Millwall FC,Millwall FC,England,MEN,Championship,2025-26,2025-26,2025-26,48,0,0
middlesbroughfc,Middlesbrough FC,Middlesbrough FC,England,MEN,Championship,2025-26,2025-26,2025-26,48,0,0
southamptonfc,Southampton FC,Southampton FC,England,MEN,Championship,2025-26,2025-26,2025-26,47,0,0
blackpool,Blackpool,Blackpool,England,MEN,League One,2024-25,2024-25,2024-25,46,46,0
shrewsbury,Shrewsbury,Shrewsbury,England,MEN,League One,2024-25,2024-25,2024-25,46,46,0
wigan,Wigan,Wigan,England,MEN,League One,2024-25,2024-25,2024-25,46,46,0
charlton,Charlton,Charlton,England,MEN,League One,2024-25,2024-25,2024-25,46,46,0
wrexham,Wrexham,Wrexham,England,MEN,League One,2024-25,2024-25,2024-25,46,46,0
crawleytown,Crawley Town,Crawley Town,England,MEN,League One,2024-25,2024-25,2024-25,46,46,0
lincoln,Lincoln,Lincoln,England,MEN,League One,2024-25,2024-25,2024-25,46,46,0
huddersfield,Huddersfield,Huddersfield,England,MEN,League One,2024-25,2024-25,2024-25,46,46,0
cambridge,Cambridge,Cambridge,England,MEN,League One,2024-25,2024-25,2024-25,46,46,0
bristolrvs,Bristol Rvs,Bristol Rvs,England,MEN,League One,2024-25,2024-25,2024-25,46,46,0
carlisle,Carlisle,Carlisle,England,MEN,League Two,2024-25,2024-25,2024-25,46,46,0
stoke,Stoke,Stoke,England,MEN,Championship,2024-25,2024-25,2024-25,46,46,0
oxford,Oxford,Oxford,England,MEN,Championship,2024-25,2024-25,2024-25,46,46,0
qpr,QPR,QPR,England,MEN,Championship,2024-25,2024-25,2024-25,46,46,0
