country,competition,gender,season,matches,gap,scientific_value,priority_score
South America,Copa Sudamericana,MEN,2025,64,236,10,24.72
South America,Copa Sudamericana,MEN,2020,105,195,10,23.9
South America,Copa Libertadores,MEN,2021,120,180,10,23.6
South America,Copa Libertadores,MEN,2022,120,180,10,23.6
South America,Copa Libertadores,MEN,2020,125,175,10,23.5
South America,Copa Sudamericana,MEN,2021,157,143,10,22.86
South America,Copa Sudamericana,MEN,2022,157,143,10,22.86
South America,Copa Sudamericana,MEN,2023,157,143,10,22.86
South America,Copa Sudamericana,MEN,2024,157,143,10,22.86
England,Premier League,MEN,2020-21,380,0,10,20.0
Italy,Serie A,MEN,2025-26,380,0,10,20.0
Germany,Bundesliga 2,MEN,2021-22,306,0,10,20.0
Germany,Bundesliga 2,MEN,2022-23,306,0,10,20.0
England,Premier League,MEN,2021-22,380,0,10,20.0
England,Premier League,MEN,2022-23,380,0,10,20.0
England,Premier League,MEN,2023-24,380,0,10,20.0
England,Premier League,MEN,2024-25,380,0,10,20.0
Germany,Bundesliga,MEN,2021-22,306,0,10,20.0
Germany,Bundesliga,MEN,2022-23,306,0,10,20.0
England,Premier League,MEN,2025-26,385,0,10,20.0
Germany,Bundesliga,MEN,2025-26,306,0,10,20.0
England,League One,MEN,2024-25,552,0,6,12.0
England,Championship,MEN,2025-26,557,0,6,12.0
England,League Two,MEN,2024-25,552,0,6,12.0
England,Championship,MEN,2024-25,552,0,6,12.0
