date,hk,ak,rows,sources
2020-09-12,crystalpalace,southampton,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-12,fulham,arsenal,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-12,liverpool,leeds,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-12,westham,newcastle,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-13,tottenham,everton,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-13,westbrom,leicester,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-14,brighton,chelsea,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-14,sheffieldunited,wolves,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-19,arsenal,westham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-19,everton,westbrom,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-19,leeds,fulham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-19,manunited,crystalpalace,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-20,chelsea,liverpool,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-20,leicester,burnley,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-20,newcastle,brighton,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-20,southampton,tottenham,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-21,astonvilla,sheffieldunited,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-21,wolves,mancity,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
2020-09-26,brighton,manunited,2,data/raw/epl_2020_2021_football_data_real.csv|data/raw/global_acquisition/football_data/epl_2021_direct.csv
