country,competition,season,gender,priority,matches_materialized,status
England,Premier League,2020,MEN,A,380,MATERIALIZED
England,Premier League,2020,WOMEN,A,0,NOT_MATERIALIZED
England,Premier League,2021,MEN,A,380,MATERIALIZED
England,Premier League,2021,WOMEN,A,0,NOT_MATERIALIZED
England,Premier League,2022,MEN,A,380,MATERIALIZED
England,Premier League,2022,WOMEN,A,0,NOT_MATERIALIZED
England,Premier League,2023,MEN,A,30,MATERIALIZED
England,Premier League,2023,WOMEN,A,0,NOT_MATERIALIZED
England,Premier League,2024,MEN,A,380,MATERIALIZED
England,Premier League,2024,WOMEN,A,0,NOT_MATERIALIZED
England,Premier League,2025,MEN,A,385,MATERIALIZED
England,Premier League,2025,WOMEN,A,0,NOT_MATERIALIZED
England,Premier League,2026,MEN,A,0,NOT_MATERIALIZED
England,Premier League,2026,WOMEN,A,0,NOT_MATERIALIZED
England,Championship,2020,MEN,A,0,NOT_MATERIALIZED
England,Championship,2020,WOMEN,A,0,NOT_MATERIALIZED
England,Championship,2021,MEN,A,0,NOT_MATERIALIZED
England,Championship,2021,WOMEN,A,0,NOT_MATERIALIZED
England,Championship,2022,MEN,A,0,NOT_MATERIALIZED
England,Championship,2022,WOMEN,A,0,NOT_MATERIALIZED
England,Championship,2023,MEN,A,0,NOT_MATERIALIZED
England,Championship,2023,WOMEN,A,0,NOT_MATERIALIZED
England,Championship,2024,MEN,A,552,MATERIALIZED
England,Championship,2024,WOMEN,A,0,NOT_MATERIALIZED
England,Championship,2025,MEN,A,557,MATERIALIZED
England,Championship,2025,WOMEN,A,0,NOT_MATERIALIZED
England,Championship,2026,MEN,A,0,NOT_MATERIALIZED
England,Championship,2026,WOMEN,A,0,NOT_MATERIALIZED
England,League One,2020,MEN,B,0,NOT_MATERIALIZED
England,League One,2020,WOMEN,B,0,NOT_MATERIALIZED
England,League One,2021,MEN,B,0,NOT_MATERIALIZED
England,League One,2021,WOMEN,B,0,NOT_MATERIALIZED
England,League One,2022,MEN,B,0,NOT_MATERIALIZED
England,League One,2022,WOMEN,B,0,NOT_MATERIALIZED
England,League One,2023,MEN,B,0,NOT_MATERIALIZED
England,League One,2023,WOMEN,B,0,NOT_MATERIALIZED
England,League One,2024,MEN,B,552,MATERIALIZED
England,League One,2024,WOMEN,B,0,NOT_MATERIALIZED
