source,target,url,classification,credential,status,attempted_at,http_status,bytes,rows,sha256,materialized,processed,pit_validated,used_in_model,reason
Football-Data.co.uk,results_stats_odds,https://www.football-data.co.uk/mmz4281/1920/E0.csv,HISTORICAL_REAL_NON_PIT,NONE,BLOCKED,2026-08-20T16:36:31.201369+00:00,,,,,False,False,False,False,RUNTIME_DNS_BLOCKED:FAILED:gaierror:[Errno -3] Temporary failure in name resolution
Football-Data.co.uk,results_stats_odds,https://www.football-data.co.uk/mmz4281/1920/E1.csv,HISTORICAL_REAL_NON_PIT,NONE,BLOCKED,2026-08-20T16:36:31.201369+00:00,,,,,False,False,False,False,RUNTIME_DNS_BLOCKED:FAILED:gaierror:[Errno -3] Temporary failure in name resolution
Football-Data.co.uk,results_stats_odds,https://www.football-data.co.uk/mmz4281/1920/E2.csv,HISTORICAL_REAL_NON_PIT,NONE,BLOCKED,2026-08-20T16:36:31.201369+00:00,,,,,False,False,False,False,RUNTIME_DNS_BLOCKED:FAILED:gaierror:[Errno -3] Temporary failure in name resolution
Football-Data.co.uk,results_stats_odds,https://www.football-data.co.uk/mmz4281/1920/E3.csv,HISTORICAL_REAL_NON_PIT,NONE,BLOCKED,2026-08-20T16:36:31.201369+00:00,,,,,False,False,False,False,RUNTIME_DNS_BLOCKED:FAILED:gaierror:[Errno -3] Temporary failure in name resolution
Football-Data.co.uk,results_stats_odds,https://www.football-data.co.uk/mmz4281/1920/EC.csv,HISTORICAL_REAL_NON_PIT,NONE,BLOCKED,2026-08-20T16:36:31.201369+00:00,,,,,False,False,False,False,RUNTIME_DNS_BLOCKED:FAILED:gaierror:[Errno -3] Temporary failure in name resolution
Football-Data.co.uk,results_stats_odds,https://www.football-data.co.uk/mmz4281/2021/E0.csv,HISTORICAL_REAL_NON_PIT,NONE,BLOCKED,2026-08-20T16:36:31.201369+00:00,,,,,False,False,False,False,RUNTIME_DNS_BLOCKED:FAILED:gaierror:[Errno -3] Temporary failure in name resolution
Football-Data.co.uk,results_stats_odds,https://www.football-data.co.uk/mmz4281/2021/E1.csv,HISTORICAL_REAL_NON_PIT,NONE,BLOCKED,2026-08-20T16:36:31.201369+00:00,,,,,False,False,False,False,RUNTIME_DNS_BLOCKED:FAILED:gaierror:[Errno -3] Temporary failure in name resolution
Football-Data.co.uk,results_stats_odds,https://www.football-data.co.uk/mmz4281/2021/E2.csv,HISTORICAL_REAL_NON_PIT,NONE,BLOCKED,2026-08-20T16:36:31.201369+00:00,,,,,False,False,False,False,RUNTIME_DNS_BLOCKED:FAILED:gaierror:[Errno -3] Temporary failure in name resolution
Football-Data.co.uk,results_stats_odds,https://www.football-data.co.uk/mmz4281/2021/E3.csv,HISTORICAL_REAL_NON_PIT,NONE,BLOCKED,2026-08-20T16:36:31.201369+00:00,,,,,False,False,False,False,RUNTIME_DNS_BLOCKED:FAILED:gaierror:[Errno -3] Temporary failure in name resolution
Football-Data.co.uk,results_stats_odds,https://www.football-data.co.uk/mmz4281/2021/EC.csv,HISTORICAL_REAL_NON_PIT,NONE,BLOCKED,2026-08-20T16:36:31.201369+00:00,,,,,False,False,False,False,RUNTIME_DNS_BLOCKED:FAILED:gaierror:[Errno -3] Temporary failure in name resolution
Football-Data.co.uk,results_stats_odds,https://www.football-data.co.uk/mmz4281/2122/E0.csv,HISTORICAL_REAL_NON_PIT,NONE,BLOCKED,2026-08-20T16:36:31.201369+00:00,,,,,False,False,False,False,RUNTIME_DNS_BLOCKED:FAILED:gaierror:[Errno -3] Temporary failure in name resolution
