feature,domain,sample_size,association,status
home_form3,PREMATCH,4678,0.11566840264071505,DESCRIPTIVE_ONLY
home_form5,PREMATCH,4678,0.13769985187056535,DESCRIPTIVE_ONLY
home_form10,PREMATCH,4678,0.15851692619427438,DESCRIPTIVE_ONLY
away_form3,PREMATCH,4662,-0.08583413701062732,DESCRIPTIVE_ONLY
away_form5,PREMATCH,4662,-0.10039436645272366,DESCRIPTIVE_ONLY
away_form10,PREMATCH,4662,-0.11707016640988678,DESCRIPTIVE_ONLY
rest_advantage,PREMATCH,3604,-0.029205857394197385,DESCRIPTIVE_ONLY
h2h_home_win_rate5,PREMATCH,2540,0.13291259195009836,DESCRIPTIVE_ONLY
h2h_goals5,PREMATCH,2540,0.021003492070520047,DESCRIPTIVE_ONLY
h2h_btts5,PREMATCH,2540,0.04462046903616984,DESCRIPTIVE_ONLY
importance_score,PREMATCH,763,-0.02715717577119825,DESCRIPTIVE_ONLY
