country,competition,tier,status,seasons_available,matches_materialized,data_quality
England,League One,3,MATERIALIZED,2024-25,552,REAL_CANONICAL
England,League Two,4,MATERIALIZED,2024-25,552,REAL_CANONICAL
Spain,Primera Federacion,3,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Italy,Serie C,3,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Germany,3. Liga,3,NOT_MATERIALIZED,,0,NOT_AVAILABLE
France,National,3,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Portugal,Liga Portugal 2,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Netherlands,Eerste Divisie,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Belgium,Challenger Pro League,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Scotland,Scottish Championship,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Turkey,1. Lig,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Austria,2. Liga,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Switzerland,Challenge League,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Brazil,Brasileirao Serie B,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Brazil,Brasileirao Serie C,3,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Argentina,Primera Nacional,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Mexico,Liga de Expansion MX,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
USA,USL Championship,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Japan,J2 League,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
South Korea,K League 2,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
