pillar,implemented_in_existing_architecture,validated_live_or_market_evidence,status
live_engine,True,False,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
odds_engine,True,False,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
settlement_engine,True,False,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
paper_trading,True,True,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
risk_engine,True,True,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
kill_switch,True,True,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
watchdog,True,True,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
champion_challenger,True,True,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
drift_detection,True,True,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
feature_store,True,True,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
explainability,True,True,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
quality_gate,True,True,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
no_bet_intelligence,True,True,IMPLEMENTED_BUT_NOT_MARKET_VALIDATED
