match_id,country,competition,division,season,round,kickoff_timestamp,home_team,away_team,home_goals,away_goals,referee,home_cards,away_cards,total_cards,home_corners,away_corners,total_corners,home_xg,away_xg,odds_1,odds_x,odds_2,over_2_5,under_2_5,btts_yes,btts_no,asian_handicap,bookmaker,odds_timestamp,feature_timestamp,decision_timestamp,source,source_url,provenance_file,pit_status,data_type,gender,canonical_match_id,home_form3,home_form5,home_form10,home_rest_days,away_form3,away_form5,away_form10,away_rest_days,rest_advantage,h2h_n3,h2h_home_win_rate3,h2h_draw_rate3,h2h_goals3,h2h_btts3,h2h_n5,h2h_home_win_rate5,h2h_draw_rate5,h2h_goals5,h2h_btts5,h2h_n10,h2h_home_win_rate10,h2h_draw_rate10,h2h_goals10,h2h_btts10,importance_state,importance_score,importance_evidence,motivation_state,must_win,already_qualified,already_eliminated,home_win,total_goals,btts,derby_status,rivalry_status,travel_status,player_data_status,injury_data_status,lineup_status,live_status,market_pit_status
2324-0001,England,Premier League,1,2023-24,,2023-08-11 00:00:00,Burnley,Man City,0.0,3.0,C Pawson,0.0,0.0,0.0,6.0,5.0,11.0,,,,,,,,,,,,,2023-08-11T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0001,,,,,,,,,,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,3.0,0.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0002,England,Premier League,1,2023-24,,2023-08-12 00:00:00,Arsenal,Nott'm Forest,2.0,1.0,M Oliver,2.0,2.0,4.0,8.0,3.0,11.0,,,,,,,,,,,,,2023-08-12T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0002,,,,,,,,,,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,3.0,1.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0003,England,Premier League,1,2023-24,,2023-08-12 00:00:00,Bournemouth,West Ham,1.0,1.0,P Bankes,1.0,4.0,5.0,10.0,4.0,14.0,,,,,,,,,,,,,2023-08-12T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0003,,,,,,,,,,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,2.0,1.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0004,England,Premier League,1,2023-24,,2023-08-12 00:00:00,Brighton,Luton,4.0,1.0,D Coote,2.0,2.0,4.0,6.0,7.0,13.0,,,,,,,,,,,,,2023-08-12T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0004,,,,,,,,,,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,5.0,1.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0005,England,Premier League,1,2023-24,,2023-08-12 00:00:00,Everton,Fulham,0.0,1.0,S Attwell,0.0,2.0,2.0,10.0,4.0,14.0,,,,,,,,,,,,,2023-08-12T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0005,,,,,,,,,,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,1.0,0.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0006,England,Premier League,1,2023-24,,2023-08-12 00:00:00,Sheffield United,Crystal Palace,0.0,1.0,J Brooks,3.0,0.0,3.0,5.0,5.0,10.0,,,,,,,,,,,,,2023-08-12T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0006,,,,,,,,,,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,1.0,0.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0007,England,Premier League,1,2023-24,,2023-08-12 00:00:00,Newcastle,Aston Villa,5.0,1.0,A Madley,4.0,4.0,8.0,6.0,5.0,11.0,,,,,,,,,,,,,2023-08-12T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0007,,,,,,,,,,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,6.0,1.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0008,England,Premier League,1,2023-24,,2023-08-13 00:00:00,Brentford,Tottenham,2.0,2.0,R Jones,1.0,4.0,5.0,3.0,6.0,9.0,,,,,,,,,,,,,2023-08-13T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0008,,,,,,,,,,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,4.0,1.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0009,England,Premier League,1,2023-24,,2023-08-13 00:00:00,Chelsea,Liverpool,1.0,1.0,A Taylor,3.0,3.0,6.0,4.0,4.0,8.0,,,,,,,,,,,,,2023-08-13T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0009,,,,,,,,,,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,2.0,1.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0010,England,Premier League,1,2023-24,,2023-08-14 00:00:00,Man United,Wolves,1.0,0.0,S Hooper,2.0,3.0,5.0,8.0,7.0,15.0,,,,,,,,,,,,,2023-08-14T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0010,,,,,,,,,,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,1.0,0.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
2324-0011,England,Premier League,1,2023-24,,2023-08-18 00:00:00,Nott'm Forest,Sheffield United,2.0,1.0,P Bankes,2.0,3.0,5.0,6.0,7.0,13.0,,,,,,,,,,,,,2023-08-18T00:00:00,,DataHub/Football-Data derivative,https://datahub.io/football/english-premier-league/_r/-/season-2324.csv,data/raw/epl_2324_real_pilot.csv,PIT_DATE_ONLY,HISTORICAL_REAL,MEN,2324-0011,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0,,,,,0,,,,,0,,,,,UNKNOWN,,stage_only; mathematical_table_state_not_available,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.0,3.0,1.0,UNKNOWN,UNKNOWN,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT
