country,competition,tier,status,seasons_available,matches_materialized,data_quality
England,Premier League,1,NOT_MATERIALIZED,,795,NOT_AVAILABLE
England,Championship,2,NOT_MATERIALIZED,,1109,NOT_AVAILABLE
Germany,Bundesliga,1,NOT_MATERIALIZED,,306,NOT_AVAILABLE
Germany,2. Bundesliga,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Italy,Serie A,1,NOT_MATERIALIZED,,380,NOT_AVAILABLE
Italy,Serie B,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Spain,La Liga,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Spain,Segunda Division,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
France,Ligue 1,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
France,Ligue 2,2,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Netherlands,Eredivisie,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Portugal,Primeira Liga,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Belgium,Belgian Pro League,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Scotland,Scottish Premiership,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Turkey,Super Lig,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Austria,Austrian Bundesliga,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Switzerland,Swiss Super League,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Brazil,Brasileirao Serie A,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Argentina,Liga Profesional Argentina,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
USA,MLS,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Japan,J1 League,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
South Korea,K League 1,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
Mexico,Liga MX,1,NOT_MATERIALIZED,,0,NOT_AVAILABLE
