country,competition,tier,competition_type,priority,materialized_matches,status
Brazil,Serie A,1,LEAGUE,P1,0,NOT_MATERIALIZED
Brazil,Serie B,2,LEAGUE,P1,0,NOT_MATERIALIZED
Brazil,Serie C,3,LEAGUE,P1,0,NOT_MATERIALIZED
Brazil,Serie D,4,LEAGUE,P1,0,NOT_MATERIALIZED
Brazil,Estaduais,regional,LEAGUE,P1,0,NOT_MATERIALIZED
Brazil,Copa do Brasil,cup,LEAGUE,P1,0,NOT_MATERIALIZED
Brazil,Copa do Nordeste,cup,LEAGUE,P1,0,NOT_MATERIALIZED
Brazil,Copa Verde,cup,LEAGUE,P1,0,NOT_MATERIALIZED
Argentina,Primera División,1,LEAGUE,P2,0,NOT_MATERIALIZED
Argentina,Primera Nacional,2,LEAGUE,P2,0,NOT_MATERIALIZED
Chile,Primera División,1,LEAGUE,P2,0,NOT_MATERIALIZED
Chile,Primera B,2,LEAGUE,P2,0,NOT_MATERIALIZED
Colombia,Primera A,1,LEAGUE,P2,0,NOT_MATERIALIZED
Colombia,Primera B,2,LEAGUE,P2,0,NOT_MATERIALIZED
Uruguay,Primera División,1,LEAGUE,P2,0,NOT_MATERIALIZED
Uruguay,Segunda División,2,LEAGUE,P2,0,NOT_MATERIALIZED
Paraguay,Primera División,1,LEAGUE,P2,0,NOT_MATERIALIZED
Peru,Liga 1,1,LEAGUE,P2,0,NOT_MATERIALIZED
Peru,Liga 2,2,LEAGUE,P2,0,NOT_MATERIALIZED
Ecuador,Serie A,1,LEAGUE,P2,0,NOT_MATERIALIZED
Ecuador,Serie B,2,LEAGUE,P2,0,NOT_MATERIALIZED
Bolivia,Primera División,1,LEAGUE,P2,0,NOT_MATERIALIZED
Venezuela,Primera División,1,LEAGUE,P2,0,NOT_MATERIALIZED
Libertadores,Libertadores,continental,INTERNATIONAL,P2,0,NOT_MATERIALIZED
South America,Sul-Americana,continental,INTERNATIONAL,P2,0,NOT_MATERIALIZED
