region,competition,coverage_plan,materialized,processed,pit_validated,used_in_model,odds_coverage,live_coverage,xg_coverage,cards_coverage,corners_coverage
Brazil,Brasileirão Série A,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Brasileirão Série B,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Brasileirão Série C,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Brasileirão Série D,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Copa do Brasil,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Copa do Nordeste,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Copa Verde,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Paulista,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Paulista Série A2,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Paulista Série A3,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Paulista Série A4,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Carioca,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Carioca A2,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Carioca A3,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Mineiro,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Mineiro Módulo II,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Gaúcho,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Gaúcho Série A2,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Paranaense,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Paranaense 2ª divisão,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Pernambucano,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Cearense,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Baiano,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Paraibano,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Alagoano,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Potiguar,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Sergipano,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Catarinense,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Goiano,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Mato-Grossense,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Paraense,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Maranhense,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Brazil,Piauiense,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Argentina Primera División,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Argentina Primera Nacional,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Argentina Primera B Metropolitana,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Argentina Primera C,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Chile Primera División,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Chile Primera B,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Colombia Primera A,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Colombia Primera B,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Uruguay Primera División,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Uruguay Segunda División,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Paraguay Primera División,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Paraguay División Intermedia,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Ecuador LigaPro,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Ecuador Serie B,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Peru Liga 1,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Peru Liga 2,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Bolivia Primera División,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
South America,Venezuela Primera División,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
North/Central America,MLS,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
North/Central America,USL,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
North/Central America,MLS Next Pro,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
North/Central America,Liga MX,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
North/Central America,Liga de Expansión,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
North/Central America,Costa Rica Primera División,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
North/Central America,Guatemala Liga Nacional,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
North/Central America,Honduras Liga Nacional,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
North/Central America,El Salvador Primera División,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
North/Central America,Panama Liga LPF,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Premier League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Championship,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,League One,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,League Two,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,National League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Bundesliga,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,2. Bundesliga,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,3. Liga,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,La Liga,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Segunda División,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Primera Federación,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Primera División RFEF,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Serie A,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Serie B,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Serie C,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Ligue 1,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Ligue 2,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,National,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Primeira Liga,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Liga Portugal 2,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Liga 3,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Campeonato de Portugal,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Eredivisie,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Europe,Belgian Pro League,TARGET,False,False,False,False,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
