rank,country,competition,tier,market,sample_size,model,ROI,CLV,OOS,HOLDOUT,drawdown,statistical_confidence,multiple_testing_risk,overfit_risk,replication_status,status
1,Brazil,Serie A,1,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
2,Brazil,Serie B,2,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
3,Brazil,Serie C,3,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
4,Brazil,Serie D,4,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
5,Brazil,Estaduais,regional,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
6,Brazil,Copa do Brasil,cup,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
7,Brazil,Copa do Nordeste,cup,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
8,Brazil,Copa Verde,cup,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
9,Argentina,Primera División,1,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
10,Argentina,Primera Nacional,2,RESEARCH_TARGET,0,NOT_TESTED,NOT_DETERMINED,NOT_DETERMINED,INSUFFICIENT_DATA,INSUFFICIENT_DATA,NOT_DETERMINED,NOT_DETERMINED,HIGH_IF_SELECTED_AFTER_SEARCH,NOT_DETERMINED,NOT_TESTED,NOT_TESTED
