event_id,date,home_team,away_team,home_goals_for5,home_goals_against5,away_goals_for5,away_goals_against5,home_cards5,away_cards5,home_yellow5,away_yellow5,referee_cards_prior,referee_sample_prior,home_win_rate5,away_win_rate5,home_btts_rate5,away_btts_rate5,home_over25_rate5,away_over25_rate5,target_home_win,target_draw,target_away_win,home_cards,away_cards,total_cards,home_yellow,away_yellow,referee,home_goals,away_goals,total_goals
2324-0001,2023-08-11,Burnley,Man City,,,,,,,,,,0,,,,,,,0,0,1,0,0,0,0,0,C Pawson,0,3,3
2324-0002,2023-08-12,Arsenal,Nott'm Forest,,,,,,,,,,0,,,,,,,1,0,0,2,2,4,2,2,M Oliver,2,1,3
2324-0003,2023-08-12,Bournemouth,West Ham,,,,,,,,,,0,,,,,,,0,1,0,1,4,5,1,4,P Bankes,1,1,2
2324-0004,2023-08-12,Brighton,Luton,,,,,,,,,,0,,,,,,,1,0,0,2,2,4,2,2,D Coote,4,1,5
2324-0005,2023-08-12,Everton,Fulham,,,,,,,,,,0,,,,,,,0,0,1,0,2,2,0,2,S Attwell,0,1,1
2324-0006,2023-08-12,Sheffield United,Crystal Palace,,,,,,,,,,0,,,,,,,0,0,1,3,0,3,3,0,J Brooks,0,1,1
2324-0007,2023-08-12,Newcastle,Aston Villa,,,,,,,,,,0,,,,,,,1,0,0,4,4,8,4,4,A Madley,5,1,6
2324-0008,2023-08-13,Brentford,Tottenham,,,,,,,,,,0,,,,,,,0,1,0,1,4,5,1,4,R Jones,2,2,4
2324-0009,2023-08-13,Chelsea,Liverpool,,,,,,,,,,0,,,,,,,0,1,0,3,3,6,3,3,A Taylor,1,1,2
2324-0010,2023-08-14,Man United,Wolves,,,,,,,,,,0,,,,,,,1,0,0,2,3,5,2,3,S Hooper,1,0,1
2324-0011,2023-08-18,Nott'm Forest,Sheffield United,1.0,2.0,0.0,1.0,2.0,3.0,2.0,3.0,5.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,2,3,5,2,3,P Bankes,2,1,3
2324-0012,2023-08-19,Fulham,Brentford,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,,0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,1,2,2,4,2,2,D Bond,0,3,3
2324-0013,2023-08-19,Liverpool,Bournemouth,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,3,4,1,3,T Bramall,3,1,4
2324-0014,2023-08-19,Wolves,Brighton,0.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,8.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1,3,6,9,3,6,A Madley,1,4,5
2324-0015,2023-08-19,Tottenham,Man United,2.0,2.0,1.0,0.0,4.0,2.0,4.0,2.0,4.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,1,3,4,1,3,M Oliver,2,0,2
2324-0016,2023-08-19,Man City,Newcastle,3.0,0.0,5.0,1.0,0.0,4.0,0.0,4.0,5.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1,0,0,1,5,6,1,5,R Jones,1,0,1
2324-0017,2023-08-20,Aston Villa,Everton,1.0,5.0,0.0,1.0,4.0,0.0,4.0,0.0,6.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,3,4,7,3,4,A Taylor,4,0,4
2324-0018,2023-08-20,West Ham,Chelsea,1.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,2,3,5,2,3,J Brooks,3,1,4
2324-0019,2023-08-21,Crystal Palace,Arsenal,1.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,4.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0,0,1,2,1,3,2,1,D Coote,0,1,1
2324-0020,2023-08-25,Chelsea,Luton,1.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,5.5,2,0.0,0.0,1.0,1.0,0.5,1.0,1,0,0,2,3,5,2,3,R Jones,3,0,3
2324-0021,2023-08-26,Bournemouth,Tottenham,1.0,2.0,2.0,1.0,2.0,2.5,2.0,2.5,,0,0.0,0.5,1.0,0.5,0.5,0.5,0,0,1,1,3,4,1,3,T Robinson,0,2,2
2324-0022,2023-08-26,Arsenal,Fulham,1.5,0.5,0.5,1.5,1.5,2.0,1.5,2.0,,0,1.0,0.5,0.5,0.0,0.5,0.5,0,1,0,0,3,3,0,3,P Tierney,2,2,4
2324-0023,2023-08-26,Brentford,Crystal Palace,2.5,1.0,0.5,0.5,1.5,1.0,1.5,1.0,5.0,2,0.5,0.5,0.5,0.0,1.0,0.0,0,1,0,0,0,0,0,0,P Bankes,1,1,2
2324-0024,2023-08-26,Everton,Wolves,0.0,2.5,0.5,2.5,2.0,3.0,2.0,3.0,0.0,1,0.0,0.0,0.0,0.5,0.5,0.5,0,0,1,3,4,7,3,4,C Pawson,0,1,1
2324-0025,2023-08-26,Man United,Nott'm Forest,0.5,1.0,1.5,1.5,2.5,2.0,2.5,2.0,2.0,1,0.5,0.5,0.0,1.0,0.0,1.0,1,0,0,4,4,8,4,4,S Attwell,3,2,5
2324-0026,2023-08-26,Brighton,West Ham,4.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,6.5,2,1.0,0.5,1.0,1.0,1.0,0.5,0,0,1,1,3,4,1,3,A Taylor,1,3,4
2324-0027,2023-08-27,Burnley,Aston Villa,0.0,3.0,2.5,2.5,0.0,3.5,0.0,3.5,,0,0.0,0.5,0.0,0.5,1.0,1.0,0,0,1,2,0,2,2,0,M Salisbury,1,3,4
2324-0028,2023-08-27,Sheffield United,Man City,0.5,1.5,2.0,0.0,3.0,0.5,3.0,0.5,,0,0.0,1.0,0.5,0.0,0.5,0.5,0,0,1,3,0,3,3,0,J Gillett,1,2,3
2324-0029,2023-08-27,Newcastle,Liverpool,2.5,1.0,2.0,1.0,4.5,2.0,4.5,2.0,4.0,2,0.5,0.5,0.5,1.0,0.5,0.5,0,0,1,1,2,3,1,2,J Brooks,1,2,3
2324-0030,2023-09-01,Luton,West Ham,0.5,3.5,2.3333333333333335,1.0,2.5,3.0,2.5,3.0,3.0,1,0.0,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0,0,1,1,1,2,1,1,P Tierney,1,2,3
