event_id,event_time,prior5_mean,actual_total_corners,pit_status
corner-0001,2023-08-11T00:00:00,,11,PIT_DATE_ONLY
corner-0002,2023-08-12T00:00:00,11.0,11,PIT_DATE_ONLY
corner-0003,2023-08-12T00:00:00,11.0,14,PIT_DATE_ONLY
corner-0004,2023-08-12T00:00:00,12.0,13,PIT_DATE_ONLY
corner-0005,2023-08-12T00:00:00,12.25,14,PIT_DATE_ONLY
corner-0006,2023-08-12T00:00:00,12.6,10,PIT_DATE_ONLY
corner-0007,2023-08-12T00:00:00,12.4,11,PIT_DATE_ONLY
corner-0008,2023-08-13T00:00:00,12.4,9,PIT_DATE_ONLY
corner-0009,2023-08-13T00:00:00,11.4,8,PIT_DATE_ONLY
corner-0010,2023-08-14T00:00:00,10.4,15,PIT_DATE_ONLY
corner-0011,2023-08-18T00:00:00,10.6,13,PIT_DATE_ONLY
corner-0012,2023-08-19T00:00:00,11.2,3,PIT_DATE_ONLY
corner-0013,2023-08-19T00:00:00,9.6,8,PIT_DATE_ONLY
corner-0014,2023-08-19T00:00:00,9.4,11,PIT_DATE_ONLY
corner-0015,2023-08-19T00:00:00,10.0,10,PIT_DATE_ONLY
corner-0016,2023-08-19T00:00:00,9.0,12,PIT_DATE_ONLY
corner-0017,2023-08-20T00:00:00,8.8,13,PIT_DATE_ONLY
corner-0018,2023-08-20T00:00:00,10.8,12,PIT_DATE_ONLY
corner-0019,2023-08-21T00:00:00,11.6,9,PIT_DATE_ONLY
corner-0020,2023-08-25T00:00:00,11.2,10,PIT_DATE_ONLY
corner-0021,2023-08-26T00:00:00,11.2,8,PIT_DATE_ONLY
corner-0022,2023-08-26T00:00:00,10.4,11,PIT_DATE_ONLY
corner-0023,2023-08-26T00:00:00,10.0,14,PIT_DATE_ONLY
corner-0024,2023-08-26T00:00:00,10.4,7,PIT_DATE_ONLY
corner-0025,2023-08-26T00:00:00,10.0,14,PIT_DATE_ONLY
corner-0026,2023-08-26T00:00:00,10.8,21,PIT_DATE_ONLY
corner-0027,2023-08-27T00:00:00,13.4,14,PIT_DATE_ONLY
corner-0028,2023-08-27T00:00:00,14.0,10,PIT_DATE_ONLY
corner-0029,2023-08-27T00:00:00,13.2,13,PIT_DATE_ONLY
corner-0030,2023-09-01T00:00:00,14.4,15,PIT_DATE_ONLY
