event_id,event_time,home_team,away_team,home_gf5,home_ga5,away_gf5,away_ga5,home_cards5,away_cards5,ref_cards_prior,ref_n,home_win5,away_win5,home_btts5,away_btts5,home_over25_5,away_over25_5,y_home,y_draw,y_away,home_cards,away_cards,total_cards,home_goals,away_goals,total_goals,referee
2324-0001,2023-08-11,Burnley,Man City,,,,,,,,0,,,,,,,0,0,1,0,0,0,0,3,3,C Pawson
2324-0002,2023-08-12,Arsenal,Nott'm Forest,,,,,,,,0,,,,,,,1,0,0,2,2,4,2,1,3,M Oliver
2324-0003,2023-08-12,Bournemouth,West Ham,,,,,,,,0,,,,,,,0,1,0,1,4,5,1,1,2,P Bankes
2324-0004,2023-08-12,Brighton,Luton,,,,,,,,0,,,,,,,1,0,0,2,2,4,4,1,5,D Coote
2324-0005,2023-08-12,Everton,Fulham,,,,,,,,0,,,,,,,0,0,1,0,2,2,0,1,1,S Attwell
2324-0006,2023-08-12,Sheffield United,Crystal Palace,,,,,,,,0,,,,,,,0,0,1,3,0,3,0,1,1,J Brooks
2324-0007,2023-08-12,Newcastle,Aston Villa,,,,,,,,0,,,,,,,1,0,0,4,4,8,5,1,6,A Madley
2324-0008,2023-08-13,Brentford,Tottenham,,,,,,,,0,,,,,,,0,1,0,1,4,5,2,2,4,R Jones
2324-0009,2023-08-13,Chelsea,Liverpool,,,,,,,,0,,,,,,,0,1,0,3,3,6,1,1,2,A Taylor
2324-0010,2023-08-14,Man United,Wolves,,,,,,,,0,,,,,,,1,0,0,2,3,5,1,0,1,S Hooper
2324-0011,2023-08-18,Nott'm Forest,Sheffield United,1.0,2.0,0.0,1.0,2.0,3.0,5.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,2,3,5,2,1,3,P Bankes
2324-0012,2023-08-19,Fulham,Brentford,1.0,0.0,2.0,2.0,2.0,1.0,,0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,1,2,2,4,0,3,3,D Bond
2324-0013,2023-08-19,Liverpool,Bournemouth,1.0,1.0,1.0,1.0,3.0,1.0,,0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,3,4,3,1,4,T Bramall
2324-0014,2023-08-19,Wolves,Brighton,0.0,1.0,4.0,1.0,3.0,2.0,8.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1,3,6,9,1,4,5,A Madley
2324-0015,2023-08-19,Tottenham,Man United,2.0,2.0,1.0,0.0,4.0,2.0,4.0,1,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,1,3,4,2,0,2,M Oliver
2324-0016,2023-08-19,Man City,Newcastle,3.0,0.0,5.0,1.0,0.0,4.0,5.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1,0,0,1,5,6,1,0,1,R Jones
2324-0017,2023-08-20,Aston Villa,Everton,1.0,5.0,0.0,1.0,4.0,0.0,6.0,1,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,3,4,7,4,0,4,A Taylor
2324-0018,2023-08-20,West Ham,Chelsea,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,2,3,5,3,1,4,J Brooks
2324-0019,2023-08-21,Crystal Palace,Arsenal,1.0,0.0,2.0,1.0,0.0,2.0,4.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0,0,1,2,1,3,0,1,1,D Coote
2324-0020,2023-08-25,Chelsea,Luton,1.0,2.0,1.0,4.0,3.0,2.0,5.5,2,0.0,0.0,1.0,1.0,0.5,1.0,1,0,0,2,3,5,3,0,3,R Jones
2324-0021,2023-08-26,Bournemouth,Tottenham,1.0,2.0,2.0,1.0,2.0,2.5,,0,0.0,0.5,1.0,0.5,0.5,0.5,0,0,1,1,3,4,0,2,2,T Robinson
2324-0022,2023-08-26,Arsenal,Fulham,1.5,0.5,0.5,1.5,1.5,2.0,,0,1.0,0.5,0.5,0.0,0.5,0.5,0,1,0,0,3,3,2,2,4,P Tierney
2324-0023,2023-08-26,Brentford,Crystal Palace,2.5,1.0,0.5,0.5,1.5,1.0,5.0,2,0.5,0.5,0.5,0.0,1.0,0.0,0,1,0,0,0,0,1,1,2,P Bankes
2324-0024,2023-08-26,Everton,Wolves,0.0,2.5,0.5,2.5,2.0,3.0,0.0,1,0.0,0.0,0.0,0.5,0.5,0.5,0,0,1,3,4,7,0,1,1,C Pawson
2324-0025,2023-08-26,Man United,Nott'm Forest,0.5,1.0,1.5,1.5,2.5,2.0,2.0,1,0.5,0.5,0.0,1.0,0.0,1.0,1,0,0,4,4,8,3,2,5,S Attwell
2324-0026,2023-08-26,Brighton,West Ham,4.0,1.0,2.0,1.0,4.0,3.0,6.5,2,1.0,0.5,1.0,1.0,1.0,0.5,0,0,1,1,3,4,1,3,4,A Taylor
