match_id,country,competition,season,market,selection_home,selection_draw,selection_away,bookmaker,snapshot_type,odds_timestamp,pit_status,evidence_class,source,source_url,over,under
0b693ca3e2dc8c6e22bc,England,Premier League,2024-25,1X2,1.6,4.2,5.25,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
0b693ca3e2dc8c6e22bc,England,Premier League,2024-25,1X2,1.67,4.1,5.0,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
0b693ca3e2dc8c6e22bc,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.53,2.5
0b693ca3e2dc8c6e22bc,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.62,2.3
0b693ca3e2dc8c6e22bc,England,Premier League,2024-25,1X2,1.62,4.36,5.15,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
0b693ca3e2dc8c6e22bc,England,Premier League,2024-25,1X2,1.66,4.2,5.02,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
1883c06e527f774995be,England,Premier League,2024-25,1X2,8.5,5.5,1.33,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
1883c06e527f774995be,England,Premier League,2024-25,1X2,8.0,5.75,1.33,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
1883c06e527f774995be,England,Premier League,2024-25,O/U 2.5,,,,Bet365,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.4,3.0
1883c06e527f774995be,England,Premier League,2024-25,O/U 2.5,,,,Bet365,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,1.36,3.2
1883c06e527f774995be,England,Premier League,2024-25,1X2,8.28,5.76,1.34,Average,OPENING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
1883c06e527f774995be,England,Premier League,2024-25,1X2,7.87,5.81,1.35,Average,CLOSING,,NON_PIT,HISTORICAL_REAL_NON_PIT,Football-Data.co.uk,https://www.football-data.co.uk/mmz4281/2425/E0.csv,,
