date,home_team,away_team,result_code,home_odds,draw_odds,away_odds,result_odds,source_url,source_type
2025-08-16,Liverpool,Bournemouth,3,1.18,5.95,8.75,1.18,https://raw.githubusercontent.com/qisixian417/football_data/main/football/epl_2025_2026_results_odds.csv,WEB_VERIFIED_GITHUB_DERIVATIVE
2025-08-16,Brighton,Fulham,1,1.65,3.60,4.10,3.60,https://raw.githubusercontent.com/qisixian417/football_data/main/football/epl_2025_2026_results_odds.csv,WEB_VERIFIED_GITHUB_DERIVATIVE
2025-08-16,Tottenham,Burnley,3,1.34,4.40,6.40,1.34,https://raw.githubusercontent.com/qisixian417/football_data/main/football/epl_2025_2026_results_odds.csv,WEB_VERIFIED_GITHUB_DERIVATIVE
2025-08-16,Sunderland,West Ham,3,3.30,3.16,1.96,3.30,https://raw.githubusercontent.com/qisixian417/football_data/main/football/epl_2025_2026_results_odds.csv,WEB_VERIFIED_GITHUB_DERIVATIVE
2025-08-16,Aston Villa,Newcastle,1,2.05,3.48,2.82,3.48,https://raw.githubusercontent.com/qisixian417/football_data/main/football/epl_2025_2026_results_odds.csv,WEB_VERIFIED_GITHUB_DERIVATIVE
2025-08-17,Chelsea,Crystal Palace,1,1.65,3.65,4.02,3.65,https://raw.githubusercontent.com/qisixian417/football_data/main/football/epl_2025_2026_results_odds.csv,WEB_VERIFIED_GITHUB_DERIVATIVE
2025-08-17,Manchester United,Arsenal,0,3.75,3.45,1.75,1.75,https://raw.githubusercontent.com/qisixian417/football_data/main/football/epl_2025_2026_results_odds.csv,WEB_VERIFIED_GITHUB_DERIVATIVE
2025-08-17,Wolves,Manchester City,0,6.25,4.60,1.33,1.33,https://raw.githubusercontent.com/qisixian417/football_data/main/football/epl_2025_2026_results_odds.csv,WEB_VERIFIED_GITHUB_DERIVATIVE
2025-08-17,Nottingham Forest,Brentford,3,1.72,3.40,3.95,1.72,https://raw.githubusercontent.com/qisixian417/football_data/main/football/epl_2025_2026_results_odds.csv,WEB_VERIFIED_GITHUB_DERIVATIVE
2025-08-19,Leeds,Everton,3,2.17,2.92,3.08,2.17,https://raw.githubusercontent.com/qisixian417/football_data/main/football/epl_2025_2026_results_odds.csv,WEB_VERIFIED_GITHUB_DERIVATIVE
