hypothesis,outcome,N_segment,N_complement,effect_size,p_value,test_stat,fdr_adjusted_p,significant_fdr_05,status
season=2024-25 vs rest: over25,over25,2036,1658,-0.041987885136304,0.011922866954682,,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
season=2024-25 vs rest: total_goals,total_goals,2036,1648,-0.1290556392698421,0.014981740127459,-2.4340082158317595,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
competition=Championship vs rest: over25,over25,1109,2585,-0.0445889356120923,0.0132693253780747,,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
division_label=SECOND vs rest: over25,over25,1109,2585,-0.0445889356120923,0.0132693253780747,,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
FIRST vs rest: total corners,total_corners,785,1656,0.3405020154466296,0.0202493873969882,2.3241052747837068,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
competition=Premier League vs rest: total_corners,total_corners,785,1656,0.3405020154466296,0.0202493873969882,2.3241052747837068,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
division_label=FIRST vs rest: total_corners,total_corners,785,1656,0.3405020154466296,0.0202493873969882,2.3241052747837068,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
Fourth vs first division total goals,total_goals,552,3132,-0.179444999722361,0.0163884438772573,-2.4055465680145054,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
FOURTH vs rest: total corners,total_corners,552,1889,-0.3834010403480103,0.0187036988919692,-2.35563446116433,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
competition=League Two vs rest: over25,over25,552,3142,-0.0565272742368472,0.0144778340753244,,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
competition=League Two vs rest: total_goals,total_goals,552,3132,-0.179444999722361,0.0163884438772573,-2.4055465680145054,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
competition=League Two vs rest: total_corners,total_corners,552,1889,-0.3834010403480103,0.0187036988919692,-2.35563446116433,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
division_label=FOURTH vs rest: over25,over25,552,3142,-0.0565272742368472,0.0144778340753244,,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
division_label=FOURTH vs rest: total_goals,total_goals,552,3132,-0.179444999722361,0.0163884438772573,-2.4055465680145054,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
division_label=FOURTH vs rest: total_corners,total_corners,552,1889,-0.3834010403480103,0.0187036988919692,-2.35563446116433,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
season=2023-24 vs rest: total_corners,total_corners,30,2411,1.5201714364717276,0.0165382506427894,2.540134687715095,0.0734040293140824,False,NOT_SUPPORTED_AFTER_FDR
season=2025-26 vs rest: over25,over25,1628,2066,0.0378992034364735,0.0222664080125133,,0.0782697978621681,False,NOT_SUPPORTED_AFTER_FDR
season=2025-26 vs rest: total_goals,total_goals,1618,2066,0.1189749394816543,0.0252226563933126,2.2389391040767985,0.0860537688713018,False,NOT_SUPPORTED_AFTER_FDR
competition=Premier League vs rest: btts,btts,795,2899,0.0436875869145942,0.0303302203739524,,0.100523016096528,False,NOT_SUPPORTED_AFTER_FDR
competition=Championship vs rest: away_win,away_win,1109,2585,-0.033695472073923,0.0440143612786871,,0.1309145104699413,False,NOT_SUPPORTED_AFTER_FDR
division_label=SECOND vs rest: away_win,away_win,1109,2585,-0.033695472073923,0.0440143612786871,,0.1309145104699413,False,NOT_SUPPORTED_AFTER_FDR
competition=League Two vs rest: btts,btts,552,3142,-0.0471521877508094,0.0419897831729108,,0.1309145104699413,False,NOT_SUPPORTED_AFTER_FDR
division_label=FOURTH vs rest: btts,btts,552,3142,-0.0471521877508094,0.0419897831729108,,0.1309145104699413,False,NOT_SUPPORTED_AFTER_FDR
THIRD vs rest: total corners,total_corners,552,1889,-0.3272176444863852,0.0495613045374749,-1.966455020938754,0.1368836030082642,False,NOT_SUPPORTED_AFTER_FDR
competition=League One vs rest: total_corners,total_corners,552,1889,-0.3272176444863852,0.0495613045374749,-1.966455020938754,0.1368836030082642,False,NOT_SUPPORTED_AFTER_FDR
division_label=THIRD vs rest: total_corners,total_corners,552,1889,-0.3272176444863852,0.0495613045374749,-1.966455020938754,0.1368836030082642,False,NOT_SUPPORTED_AFTER_FDR
division_label=FIRST vs rest: away_win,away_win,1481,2213,0.0301371217222641,0.0548738566329246,,0.1480317992888199,False,NOT_SUPPORTED_AFTER_FDR
competition=Serie A vs rest: over25,over25,380,3314,-0.0520630181367722,0.0579797259193305,,0.1528556410600534,False,NOT_SUPPORTED_AFTER_FDR
season=2024-25 vs rest: btts,btts,2036,1658,-0.0301212671313225,0.0684962700147545,,0.1765681627047005,False,NOT_SUPPORTED_AFTER_FDR
SECOND vs rest: total cards,total_cards,552,1889,-0.1670387675405282,0.0793451114023598,-1.7564157598345214,0.1804712337779164,False,NOT_SUPPORTED_AFTER_FDR
