competition,season,gender,matches,events,shots,SOT,xG,corners,cards,lineups,players,injuries,suspensions,referees,odds,timestamped_odds,PIT_validated,LIVE,settlements
Bundesliga,2025-26,MEN,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Championship,2024-25,MEN,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Championship,2025-26,MEN,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Libertadores,2020,MEN,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Libertadores,2021,MEN,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Libertadores,2022,MEN,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2020,MEN,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2021,MEN,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2022,MEN,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2023,MEN,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2024,MEN,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Copa Sudamericana,2025,MEN,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
League One,2024-25,MEN,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
League Two,2024-25,MEN,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premier League,2023-24,MEN,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premier League,2024-25,MEN,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Premier League,2025-26,MEN,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serie A,2025-26,MEN,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
