target,odds_bucket,n,mean_raw_ev,median_raw_ev,mean_fair_odds
home_win,1.50–1.65,372,-0.054999309015084444,-0.05419932617091086,1.6536489122928077
home_win,1.66–1.99,854,-0.05586998473195428,-0.05411163187047302,1.9040919599855266
home_win,2.00–2.49,1071,-0.054926362062215704,-0.05330948121645773,2.3443821565865934
home_win,2.50–2.99,621,-0.053676090579327436,-0.05268214571657348,2.857478178292814
home_win,3.00–4.00,639,-0.05391147306991916,-0.05204633204633213,3.5474662360779026
home_win,<1.50,604,-0.05121205060104446,-0.05081236779333001,1.3816828831770755
home_win,>4.00,599,-0.05166027727618025,-0.05109489051094884,6.553323965885998
over_2_5,1.50–1.65,408,-0.05009898045221817,-0.049489795918367385,1.650915806657839
over_2_5,1.66–1.99,1294,-0.043961951610677334,-0.043212349477834616,1.902206694150013
over_2_5,2.00–2.49,880,-0.05103190490978473,-0.051436031331592746,2.2414625025840333
over_2_5,2.50–2.99,66,-0.05547400555246864,-0.054892601431980825,2.744880944296163
over_2_5,3.00–4.00,3,-0.0455077086656035,-0.045454545454545636,3.2128851540616252
over_2_5,<1.50,347,-0.050379875287095637,-0.0502083333333333,1.4537767049870876
