configuration,target,divergence_bucket,n,win_rate,mean_divergence,mean_odds,status
BASELINE,home_win,0–2pp,103,0.4174757281553398,0.00047157212535152415,2.2480582524271844,PREDICTIVE_DIVERGENCE_NON_PIT
BASELINE,home_win,2–5pp,128,0.5,-0.0016882229986914287,2.12890625,PREDICTIVE_DIVERGENCE_NON_PIT
BASELINE,home_win,5–10pp,173,0.42196531791907516,0.035089212863490135,2.614566473988439,PREDICTIVE_DIVERGENCE_NON_PIT
BASELINE,home_win,10–15pp,64,0.390625,0.06466357918692645,2.8940625,PREDICTIVE_DIVERGENCE_NON_PIT
BASELINE,home_win,>15pp,32,0.5,0.09909995008699085,3.4353125,PREDICTIVE_DIVERGENCE_NON_PIT
BASELINE,over_2_5,0–2pp,71,0.5492957746478874,0.005413682089738575,1.7490140845070423,PREDICTIVE_DIVERGENCE_NON_PIT
BASELINE,over_2_5,2–5pp,99,0.494949494949495,0.01650604986194512,1.7941414141414138,PREDICTIVE_DIVERGENCE_NON_PIT
BASELINE,over_2_5,5–10pp,182,0.46703296703296704,0.05665519890039257,1.9674175824175828,PREDICTIVE_DIVERGENCE_NON_PIT
BASELINE,over_2_5,10–15pp,116,0.5,0.0943434933176387,2.0753448275862074,PREDICTIVE_DIVERGENCE_NON_PIT
BASELINE,over_2_5,>15pp,32,0.40625,0.1681259922495057,2.491875,PREDICTIVE_DIVERGENCE_NON_PIT
FULL,home_win,0–2pp,166,0.4397590361445783,0.0006812176154034777,2.7089156626506026,PREDICTIVE_DIVERGENCE_NON_PIT
FULL,home_win,2–5pp,199,0.4271356783919598,0.010300956394779008,2.5149748743718594,PREDICTIVE_DIVERGENCE_NON_PIT
FULL,home_win,5–10pp,117,0.4700854700854701,0.03203906402975214,2.2530769230769225,PREDICTIVE_DIVERGENCE_NON_PIT
FULL,home_win,10–15pp,17,0.47058823529411764,0.10082122182333822,2.0658823529411765,PREDICTIVE_DIVERGENCE_NON_PIT
FULL,home_win,>15pp,1,0.0,0.1629302230884298,2.63,PREDICTIVE_DIVERGENCE_NON_PIT
FULL,over_2_5,0–2pp,166,0.4397590361445783,-0.0007519828231658439,1.965602409638554,PREDICTIVE_DIVERGENCE_NON_PIT
FULL,over_2_5,2–5pp,203,0.5270935960591133,-0.005968238881864407,1.9545320197044334,PREDICTIVE_DIVERGENCE_NON_PIT
FULL,over_2_5,5–10pp,117,0.48717948717948717,-0.014156382377001703,1.967008547008547,PREDICTIVE_DIVERGENCE_NON_PIT
FULL,over_2_5,10–15pp,14,0.5,-0.0485471852227582,1.9392857142857143,PREDICTIVE_DIVERGENCE_NON_PIT
MARKET,home_win,0–2pp,232,0.40948275862068967,0.0026626977657858114,2.5257758620689654,PREDICTIVE_DIVERGENCE_NON_PIT
MARKET,home_win,2–5pp,211,0.47393364928909953,0.026687459718702632,2.5281516587677726,PREDICTIVE_DIVERGENCE_NON_PIT
MARKET,home_win,5–10pp,57,0.45614035087719296,0.05879010730194841,2.3175438596491227,PREDICTIVE_DIVERGENCE_NON_PIT
MARKET,over_2_5,0–2pp,252,0.49206349206349204,0.0005093703124374817,1.954563492063492,PREDICTIVE_DIVERGENCE_NON_PIT
MARKET,over_2_5,2–5pp,211,0.4976303317535545,-0.006185503689631061,1.9619431279620854,PREDICTIVE_DIVERGENCE_NON_PIT
MARKET,over_2_5,5–10pp,37,0.40540540540540543,-0.008489556561628704,1.9954054054054058,PREDICTIVE_DIVERGENCE_NON_PIT
