configuration,selection,stake_strategy,bets,units,roi,max_drawdown_u,profit_factor,win_rate,avg_odds,longest_losing_streak,volatility,scientific_status
MARKET_ONLY,ALL,flat_0.25,500,-5.737500000000001,-0.0459,12.1575,0.9177419354838708,0.442,2.50304,9.0,0.296964075604102,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,ALL,flat_0.50,500,-11.475000000000001,-0.0459,24.315,0.9177419354838708,0.442,2.50304,9.0,0.593928151208204,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,ALL,flat_1.0,500,-22.950000000000003,-0.0459,48.63,0.9177419354838708,0.442,2.50304,9.0,1.187856302416408,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,ALL,flat_1.5,500,-34.42500000000001,-0.04590000000000002,72.94500000000002,0.9177419354838708,0.442,2.50304,9.0,1.7817844536246117,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,ALL,dynamic,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,STRICT,flat_0.25,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,STRICT,flat_0.50,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,STRICT,flat_1.0,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,STRICT,flat_1.5,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,STRICT,dynamic,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,VERY_STRICT,flat_0.25,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,VERY_STRICT,flat_0.50,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,VERY_STRICT,flat_1.0,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,VERY_STRICT,flat_1.5,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,VERY_STRICT,dynamic,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
BASELINE,ALL,flat_0.25,500,-5.737500000000001,-0.0459,12.1575,0.9177419354838708,0.442,2.50304,9.0,0.296964075604102,COUNTERFACTUAL_NON_PIT
BASELINE,ALL,flat_0.50,500,-11.475000000000001,-0.0459,24.315,0.9177419354838708,0.442,2.50304,9.0,0.593928151208204,COUNTERFACTUAL_NON_PIT
BASELINE,ALL,flat_1.0,500,-22.950000000000003,-0.0459,48.63,0.9177419354838708,0.442,2.50304,9.0,1.187856302416408,COUNTERFACTUAL_NON_PIT
BASELINE,ALL,flat_1.5,500,-34.42500000000001,-0.04590000000000002,72.94500000000002,0.9177419354838708,0.442,2.50304,9.0,1.7817844536246117,COUNTERFACTUAL_NON_PIT
BASELINE,ALL,dynamic,248,0.9624999999999984,0.01552419354838707,5.762500000000001,1.025,0.3790322580645161,3.1319354838709677,10.0,0.3504983192907165,COUNTERFACTUAL_NON_PIT
BASELINE,STRICT,flat_0.25,204,-0.10749999999999993,-0.0021078431372549005,4.192500000000001,0.9967424242424242,0.35294117647058826,3.3306862745098043,8.0,0.36306236895648386,COUNTERFACTUAL_NON_PIT
BASELINE,STRICT,flat_0.50,204,-0.21499999999999986,-0.0021078431372549005,8.385000000000002,0.9967424242424242,0.35294117647058826,3.3306862745098043,8.0,0.7261247379129677,COUNTERFACTUAL_NON_PIT
BASELINE,STRICT,flat_1.0,204,-0.4299999999999997,-0.0021078431372549005,16.770000000000003,0.9967424242424242,0.35294117647058826,3.3306862745098043,8.0,1.4522494758259354,COUNTERFACTUAL_NON_PIT
BASELINE,STRICT,flat_1.5,204,-0.6450000000000031,-0.002107843137254912,25.155000000000005,0.9967424242424242,0.35294117647058826,3.3306862745098043,8.0,2.1783742137389033,COUNTERFACTUAL_NON_PIT
BASELINE,STRICT,dynamic,204,-0.10749999999999993,-0.0021078431372549005,4.192500000000001,0.9967424242424242,0.35294117647058826,3.3306862745098043,8.0,0.36306236895648386,COUNTERFACTUAL_NON_PIT
BASELINE,VERY_STRICT,flat_0.25,160,-1.4700000000000004,-0.03675000000000001,4.5600000000000005,0.9460550458715596,0.31875,3.476625,7.0,0.3771465347153527,COUNTERFACTUAL_NON_PIT
BASELINE,VERY_STRICT,flat_0.50,160,-2.940000000000001,-0.03675000000000001,9.120000000000001,0.9460550458715596,0.31875,3.476625,7.0,0.7542930694307054,COUNTERFACTUAL_NON_PIT
BASELINE,VERY_STRICT,flat_1.0,160,-5.880000000000002,-0.03675000000000001,18.240000000000002,0.9460550458715596,0.31875,3.476625,7.0,1.5085861388614108,COUNTERFACTUAL_NON_PIT
BASELINE,VERY_STRICT,flat_1.5,160,-8.82,-0.03675,27.360000000000007,0.9460550458715599,0.31875,3.476625,7.0,2.2628792082921163,COUNTERFACTUAL_NON_PIT
BASELINE,VERY_STRICT,dynamic,160,-1.4700000000000004,-0.03675000000000001,4.5600000000000005,0.9460550458715596,0.31875,3.476625,7.0,0.3771465347153527,COUNTERFACTUAL_NON_PIT
MARKET,ALL,flat_0.25,500,-5.737500000000001,-0.0459,12.1575,0.9177419354838708,0.442,2.50304,9.0,0.296964075604102,COUNTERFACTUAL_NON_PIT
MARKET,ALL,flat_0.50,500,-11.475000000000001,-0.0459,24.315,0.9177419354838708,0.442,2.50304,9.0,0.593928151208204,COUNTERFACTUAL_NON_PIT
MARKET,ALL,flat_1.0,500,-22.950000000000003,-0.0459,48.63,0.9177419354838708,0.442,2.50304,9.0,1.187856302416408,COUNTERFACTUAL_NON_PIT
MARKET,ALL,flat_1.5,500,-34.42500000000001,-0.04590000000000002,72.94500000000002,0.9177419354838708,0.442,2.50304,9.0,1.7817844536246117,COUNTERFACTUAL_NON_PIT
MARKET,ALL,dynamic,161,-2.275,-0.05652173913043478,6.187499999999999,0.9021505376344086,0.422360248447205,2.9614906832298136,11.0,0.3157148709760672,COUNTERFACTUAL_NON_PIT
MARKET,STRICT,flat_0.25,61,-3.1975,-0.20967213114754096,4.335,0.7219565217391305,0.2459016393442623,4.173278688524591,9.0,0.3846137042575735,COUNTERFACTUAL_NON_PIT
MARKET,STRICT,flat_0.50,61,-6.395,-0.20967213114754096,8.67,0.7219565217391305,0.2459016393442623,4.173278688524591,9.0,0.769227408515147,COUNTERFACTUAL_NON_PIT
MARKET,STRICT,flat_1.0,61,-12.79,-0.20967213114754096,17.34,0.7219565217391305,0.2459016393442623,4.173278688524591,9.0,1.538454817030294,COUNTERFACTUAL_NON_PIT
MARKET,STRICT,flat_1.5,61,-19.185000000000002,-0.20967213114754102,26.009999999999994,0.7219565217391303,0.2459016393442623,4.173278688524591,9.0,2.3076822255454412,COUNTERFACTUAL_NON_PIT
MARKET,STRICT,dynamic,61,-3.1975,-0.20967213114754096,4.335,0.7219565217391305,0.2459016393442623,4.173278688524591,9.0,0.3846137042575735,COUNTERFACTUAL_NON_PIT
MARKET,VERY_STRICT,flat_0.25,27,-1.0,-0.14814814814814814,2.1375,0.8095238095238095,0.2222222222222222,5.46962962962963,7.0,0.45378326167400507,COUNTERFACTUAL_NON_PIT
MARKET,VERY_STRICT,flat_0.50,27,-2.0,-0.14814814814814814,4.275,0.8095238095238095,0.2222222222222222,5.46962962962963,7.0,0.9075665233480101,COUNTERFACTUAL_NON_PIT
MARKET,VERY_STRICT,flat_1.0,27,-4.0,-0.14814814814814814,8.55,0.8095238095238095,0.2222222222222222,5.46962962962963,7.0,1.8151330466960203,COUNTERFACTUAL_NON_PIT
