configuration,threshold,bets,units,roi,max_drawdown_u,profit_factor,win_rate,avg_odds,longest_losing_streak,volatility,scientific_status
BASELINE,ALL,500,-22.950000000000003,-0.0459,48.63,0.9177419354838708,0.442,2.50304,9.0,1.187856302416408,COUNTERFACTUAL_NON_PIT
BASELINE,EV>0,248,3.8499999999999934,0.01552419354838707,23.050000000000004,1.025,0.3790322580645161,3.1319354838709677,10.0,1.401993277162866,COUNTERFACTUAL_NON_PIT
BASELINE,EV>2%,228,1.1800000000000015,0.005175438596491235,22.490000000000002,1.0081944444444444,0.3684210526315789,3.2128070175438594,10.0,1.42023559034454,COUNTERFACTUAL_NON_PIT
BASELINE,EV>5%,204,-0.4299999999999997,-0.0021078431372549005,16.770000000000003,0.9967424242424242,0.35294117647058826,3.3306862745098043,8.0,1.4522494758259354,COUNTERFACTUAL_NON_PIT
BASELINE,EV>10%,160,-5.880000000000002,-0.03675000000000001,18.240000000000002,0.9460550458715596,0.31875,3.476625,7.0,1.5085861388614108,COUNTERFACTUAL_NON_PIT
FULL,ALL,500,-22.950000000000003,-0.0459,48.63,0.9177419354838708,0.442,2.50304,9.0,1.187856302416408,COUNTERFACTUAL_NON_PIT
FULL,EV>0,185,-21.63,-0.11691891891891891,24.94,0.7978504672897198,0.42162162162162165,2.6660540540540545,8.0,1.1107110525709072,COUNTERFACTUAL_NON_PIT
FULL,EV>2%,147,-23.6,-0.16054421768707483,25.69999999999999,0.7348314606741572,0.3945578231292517,2.769387755102041,8.0,1.118328487479469,COUNTERFACTUAL_NON_PIT
FULL,EV>5%,91,-15.680000000000001,-0.17230769230769233,19.86,0.7249122807017544,0.37362637362637363,3.056593406593407,8.0,1.1362316635098642,COUNTERFACTUAL_NON_PIT
FULL,EV>10%,50,-17.93,-0.3586,19.230000000000004,0.4877142857142856,0.3,3.378199999999999,8.0,1.0225857780496401,COUNTERFACTUAL_NON_PIT
MARKET,ALL,500,-22.950000000000003,-0.0459,48.63,0.9177419354838708,0.442,2.50304,9.0,1.187856302416408,COUNTERFACTUAL_NON_PIT
MARKET,EV>0,161,-9.1,-0.05652173913043478,24.749999999999996,0.9021505376344086,0.422360248447205,2.9614906832298136,11.0,1.2628594839042688,COUNTERFACTUAL_NON_PIT
MARKET,EV>2%,109,-4.8999999999999995,-0.04495412844036697,18.51,0.9257575757575757,0.3944954128440367,3.2847706422018343,12.0,1.3662110513259675,COUNTERFACTUAL_NON_PIT
MARKET,EV>5%,61,-12.79,-0.20967213114754096,17.34,0.7219565217391305,0.2459016393442623,4.173278688524591,9.0,1.538454817030294,COUNTERFACTUAL_NON_PIT
MARKET,EV>10%,27,-4.0,-0.14814814814814814,8.55,0.8095238095238095,0.2222222222222222,5.46962962962963,7.0,1.8151330466960203,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,ALL,500,-22.950000000000003,-0.0459,48.63,0.9177419354838708,0.442,2.50304,9.0,1.187856302416408,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,EV>0,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,EV>2%,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,EV>5%,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,EV>10%,0,0.0,,0.0,,,,,,COUNTERFACTUAL_NON_PIT
