configuration,target,fold,train,validation,test,threshold,bets,units,roi,max_drawdown_u,profit_factor,win_rate,avg_odds,scientific_status,longest_losing_streak,volatility
MARKET_ONLY,home_win,0,1000,200,300,EV>0,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
MARKET_ONLY,home_win,0,1000,200,300,EV>5%,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
MARKET_ONLY,home_win,0,1000,200,300,EV>10%,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
MARKET_ONLY,home_win,1,1300,200,300,EV>0,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
MARKET_ONLY,home_win,1,1300,200,300,EV>5%,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
MARKET_ONLY,home_win,1,1300,200,300,EV>10%,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
MARKET_ONLY,home_win,2,1600,200,300,EV>0,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
MARKET_ONLY,home_win,2,1600,200,300,EV>5%,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
MARKET_ONLY,home_win,2,1600,200,300,EV>10%,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
MARKET_ONLY,home_win,3,1900,200,300,EV>0,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
MARKET_ONLY,home_win,3,1900,200,300,EV>5%,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
MARKET_ONLY,home_win,3,1900,200,300,EV>10%,0,0.0,,0.0,,,,COUNTERFACTUAL_NON_PIT,,
BASELINE,home_win,0,1000,200,300,EV>0,152,-11.270000000000001,-0.07414473684210528,26.11,0.8861616161616162,0.34868421052631576,2.941052631578947,COUNTERFACTUAL_NON_PIT,10.0,1.325278650733996
BASELINE,home_win,0,1000,200,300,EV>5%,130,-15.230000000000004,-0.11715384615384618,26.309999999999995,0.8288764044943818,0.3153846153846154,3.0593846153846154,COUNTERFACTUAL_NON_PIT,12.0,1.3447597028162415
BASELINE,home_win,0,1000,200,300,EV>10%,102,-16.46,-0.16137254901960785,26.64,0.7713888888888889,0.29411764705882354,3.14421568627451,COUNTERFACTUAL_NON_PIT,12.0,1.3439155436804475
BASELINE,home_win,1,1300,200,300,EV>0,148,-36.39,-0.2458783783783784,41.790000000000006,0.6566981132075471,0.28378378378378377,3.067364864864865,COUNTERFACTUAL_NON_PIT,14.0,1.3179560185151131
BASELINE,home_win,1,1300,200,300,EV>5%,120,-36.82,-0.30683333333333335,41.57000000000001,0.5997826086956521,0.23333333333333334,3.2529166666666662,COUNTERFACTUAL_NON_PIT,15.0,1.3647193101580293
BASELINE,home_win,1,1300,200,300,EV>10%,100,-34.55,-0.3455,39.5,0.5626582278481013,0.21,3.4068999999999994,COUNTERFACTUAL_NON_PIT,14.0,1.3881943617010502
BASELINE,home_win,2,1600,200,300,EV>0,140,-11.299999999999999,-0.08071428571428571,24.490000000000002,0.878494623655914,0.3357142857142857,3.265714285714286,COUNTERFACTUAL_NON_PIT,11.0,1.4126064703526668
BASELINE,home_win,2,1600,200,300,EV>5%,110,-11.439999999999998,-0.10399999999999998,20.54,0.8514285714285714,0.3,3.5521818181818183,COUNTERFACTUAL_NON_PIT,8.0,1.4826236353291746
BASELINE,home_win,2,1600,200,300,EV>10%,87,-7.090000000000001,-0.08149425287356322,17.72,0.8856451612903226,0.28735632183908044,3.8120689655172417,COUNTERFACTUAL_NON_PIT,10.0,1.5609273695062058
BASELINE,home_win,3,1900,200,300,EV>0,136,-10.809999999999999,-0.07948529411764704,27.77,0.8785393258426966,0.34558823529411764,3.0869117647058824,COUNTERFACTUAL_NON_PIT,11.0,1.3429317402762488
BASELINE,home_win,3,1900,200,300,EV>5%,113,-13.010000000000002,-0.11513274336283187,24.47,0.8332051282051284,0.30973451327433627,3.251946902654867,COUNTERFACTUAL_NON_PIT,13.0,1.3881662589830563
BASELINE,home_win,3,1900,200,300,EV>10%,89,-18.490000000000002,-0.20775280898876405,25.92,0.7155384615384615,0.2696629213483146,3.365393258426966,COUNTERFACTUAL_NON_PIT,18.0,1.3790467333443426
MARKET,home_win,0,1000,200,300,EV>0,114,-4.459999999999996,-0.03912280701754383,15.439999999999998,0.9324242424242424,0.42105263157894735,2.6564035087719295,COUNTERFACTUAL_NON_PIT,7.0,1.2737392249214734
MARKET,home_win,0,1000,200,300,EV>5%,53,1.2700000000000002,0.0239622641509434,8.370000000000001,1.0373529411764706,0.3584905660377358,3.2116981132075466,COUNTERFACTUAL_NON_PIT,7.0,1.544204225760412
MARKET,home_win,0,1000,200,300,EV>10%,22,7.5,0.3409090909090909,4.0,1.5357142857142858,0.36363636363636365,3.9204545454545454,COUNTERFACTUAL_NON_PIT,5.0,1.9473814141801733
MARKET,home_win,1,1300,200,300,EV>0,145,-27.979999999999997,-0.19296551724137928,40.58000000000001,0.6958695652173914,0.36551724137931035,2.6768275862068966,COUNTERFACTUAL_NON_PIT,10.0,1.2300808036567776
MARKET,home_win,1,1300,200,300,EV>5%,62,-16.92,-0.27290322580645165,22.73,0.6154545454545455,0.2903225806451613,3.116774193548386,COUNTERFACTUAL_NON_PIT,9.0,1.3608439848626899
MARKET,home_win,1,1300,200,300,EV>10%,22,-9.67,-0.4395454545454545,16.05,0.4910526315789473,0.13636363636363635,4.006363636363637,COUNTERFACTUAL_NON_PIT,13.0,1.7104231647745542
MARKET,home_win,2,1600,200,300,EV>0,63,-8.01,-0.12714285714285714,16.26,0.8137209302325582,0.31746031746031744,3.6766666666666667,COUNTERFACTUAL_NON_PIT,8.0,1.4979162177477434
MARKET,home_win,2,1600,200,300,EV>5%,30,-2.0700000000000003,-0.069,9.0,0.91,0.23333333333333334,5.022,COUNTERFACTUAL_NON_PIT,9.0,1.8507134691322655
MARKET,home_win,2,1600,200,300,EV>10%,18,0.8799999999999999,0.048888888888888885,6.0,1.0628571428571427,0.2222222222222222,5.733888888888888,COUNTERFACTUAL_NON_PIT,6.0,2.130677574881891
MARKET,home_win,3,1900,200,300,EV>0,82,11.75,0.14329268292682926,14.609999999999994,1.2865853658536586,0.5,2.835365853658536,COUNTERFACTUAL_NON_PIT,10.0,1.2832578668316457
MARKET,home_win,3,1900,200,300,EV>5%,35,-3.14,-0.08971428571428572,14.17,0.863478260869565,0.34285714285714286,3.7148571428571433,COUNTERFACTUAL_NON_PIT,9.0,1.3525911640783614
MARKET,home_win,3,1900,200,300,EV>10%,14,-9.55,-0.6821428571428572,12.0,0.2041666666666667,0.14285714285714285,4.780714285714285,COUNTERFACTUAL_NON_PIT,12.0,0.8080382566288705
FULL,home_win,0,1000,200,300,EV>0,148,-3.049999999999998,-0.020608108108108095,20.16,0.964942528735632,0.41216216216216217,2.571081081081081,COUNTERFACTUAL_NON_PIT,8.0,1.2941612608888864
FULL,home_win,0,1000,200,300,EV>5%,89,13.450000000000001,0.151123595505618,9.31,1.2802083333333332,0.4606741573033708,2.631123595505618,COUNTERFACTUAL_NON_PIT,8.0,1.402963129012571
FULL,home_win,0,1000,200,300,EV>10%,50,14.399999999999999,0.288,6.0,1.553846153846154,0.48,2.7798,COUNTERFACTUAL_NON_PIT,6.0,1.509950668203489
FULL,home_win,1,1300,200,300,EV>0,130,-11.2,-0.08615384615384615,21.839999999999996,0.8486486486486486,0.4307692307692308,2.621538461538462,COUNTERFACTUAL_NON_PIT,9.0,1.2003458058689849
FULL,home_win,1,1300,200,300,EV>5%,78,-8.830000000000002,-0.11320512820512822,22.89,0.8160416666666667,0.38461538461538464,2.9903846153846154,COUNTERFACTUAL_NON_PIT,8.0,1.3224912476962183
FULL,home_win,1,1300,200,300,EV>10%,35,-14.99,-0.42828571428571427,25.0,0.483103448275862,0.17142857142857143,3.9062857142857133,COUNTERFACTUAL_NON_PIT,25.0,1.5025595529242872
FULL,home_win,2,1600,200,300,EV>0,94,-20.37,-0.21670212765957447,27.409999999999993,0.6605,0.3617021276595745,2.8882978723404253,COUNTERFACTUAL_NON_PIT,9.0,1.132391501411302
