configuration,threshold,folds,bets,units,mean_fold_roi,median_fold_roi,positive_folds,max_fold_drawdown,status
BASELINE,EV>0,4,576,-69.77,-0.12005567376310411,-0.08009978991596638,0,41.790000000000006,COUNTERFACTUAL_NON_PIT
BASELINE,EV>10%,4,378,-76.59,-0.19902990272048376,-0.18456267900418594,0,39.5,COUNTERFACTUAL_NON_PIT
BASELINE,EV>5%,4,473,-76.5,-0.16077998071250285,-0.11614329475833902,0,41.57000000000001,COUNTERFACTUAL_NON_PIT
FULL,EV>0,4,495,-33.41,-0.07840667088688624,-0.05338097713097712,1,27.409999999999993,COUNTERFACTUAL_NON_PIT
FULL,EV>10%,4,136,-24.290000000000003,-0.26799450549450554,-0.417989010989011,1,25.0,COUNTERFACTUAL_NON_PIT
FULL,EV>5%,4,287,-4.660000000000003,-0.03513176025175732,-0.050259280520474556,2,22.89,COUNTERFACTUAL_NON_PIT
MARKET,EV>0,4,404,-28.699999999999996,-0.05398462461873775,-0.08313283208020049,1,40.58000000000001,COUNTERFACTUAL_NON_PIT
MARKET,EV>10%,4,76,-10.84,-0.18297258297258298,-0.19532828282828282,2,16.05,COUNTERFACTUAL_NON_PIT
MARKET,EV>5%,4,180,-20.860000000000003,-0.10191381184244849,-0.07935714285714286,1,22.73,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,EV>0,4,0,0.0,,,0,0.0,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,EV>10%,4,0,0.0,,,0,0.0,COUNTERFACTUAL_NON_PIT
MARKET_ONLY,EV>5%,4,0,0.0,,,0,0.0,COUNTERFACTUAL_NON_PIT
