match,market,selection,odd,bookmaker,odds_timestamp,pit_status,retrieval_timestamp,implied_probability,robo_probability,fair_odd,EV,edge,decision
LDU Quito vs Mirassol,1X2,LDU Quito,1.56,Betfair,2026-08-19 17:32 publication/update,NON_PIT,2026-08-20T16:26:11.260842+00:00,0.641025641025641,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
LDU Quito vs Mirassol,1X2,Draw,3.65,Betmaster,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.273972602739726,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
LDU Quito vs Mirassol,1X2,Mirassol,5.2,Betmaster,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.1923076923076923,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Corinthians vs Rosario Central,1X2,Corinthians,1.99,Vave,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.5025125628140703,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Corinthians vs Rosario Central,1X2,Draw,3.1,Vave,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.3225806451612903,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Corinthians vs Rosario Central,1X2,Rosario Central,4.6,Vave,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.2173913043478261,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Olimpia vs Vasco da Gama,1X2,Olimpia,2.51,1xBet,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.39840637450199207,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Olimpia vs Vasco da Gama,1X2,Draw,3.3,Stake,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.30303030303030304,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Olimpia vs Vasco da Gama,1X2,Vasco da Gama,3.2,Unibet,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.3125,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Macará vs Santos,O2.5,Over 2.5,2.18,1xBet,2026-08-17 06:25 BST,NON_PIT,2026-08-20T16:26:11.260842+00:00,0.4587155963302752,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Botafogo vs Cienciano,1X2,Botafogo,1.14,Stake,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.8771929824561404,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Botafogo vs Cienciano,1X2,Draw,9.6,Stake,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.10416666666666667,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Botafogo vs Cienciano,1X2,Cienciano,18.0,Stake,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.05555555555555555,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Botafogo vs Cienciano,O2.5,Over 2.5,1.29,Bet365,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.7751937984496123,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
Botafogo vs Cienciano,BTTS,Yes,2.0,Bet365,UNKNOWN,UNKNOWN,2026-08-20T16:26:11.260842+00:00,0.5,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,INSUFFICIENT_DATA
